id,text
7,"<p lang=""ur"">بندے کے لیے کسی کام کا سب سے بہتر آغاز یہ ہے کہ وہ اپنے کام کو اپنے رب کے نام سے شروع کرے۔ وہ ہستی جو تمام رحمتوں کا خزانہ ہے اور جس کی رحمتیں ہر وقت ابلتی رہتی ہیں، اس کے نام سے کسی کام کا آغاز کرنا گویا اس سے یہ دعا کرنا ہے کہ تو اپنی بے پایاں رحمتوں کے ساتھ میری مدد پر آجا اور میرے کام کو خیر وخوبی کے ساتھ مکمل کردے۔ یہ بندے کی طرف سے اپنی بندگی کا اعتراف ہے اور اسی کے ساتھ اس کی کامیابی کی الٰہی ضمانت بھی۔</p><p lang=""ur"">قرآن کی یہ خصوصیت ہے کہ وہ مومن کے قلبی احساسات کےلیے صحیح ترین الفاظ مہیا کرتا ہے۔ بسم اللہ اور سورۂ فاتحہ اسی نوعیت کے دعائیہ کلام ہیں۔ سچائی کو پالینے کے بعد فطری طورپر آدمی کے اندر جو جذبہ ابھرتا ہے، اسی جذبہ کو ان الفاظ میں مجسّم کردیاگیا ہے۔</p><p lang=""ur"">آدمی کا وجود اس کے لیے اللہ کا ایک عظیم عطیہ ہے۔ اس کی عظمت کا اندازہ اس سے کیا جاسکتا ہے کہ اگر کسی آدمی سے کہا جائے کہ تم اپنی دونوں آنکھوںکو نکلوادو یا دونوں پیروںکو کٹوا دو، اس کے بعد تم کو ملک کی بادشاہی دے دی جائے گی تو کوئی بھی شخص اس کے لیے تیار نہ ہوگا۔گویا کہ یہ ابتدائی قدرتی عطیے بھی بادشاہ کی بادشاہی سے زیادہ قیمتی ہیں۔ اسی طرح آدمی جب اپنے گردو پیش کی دنیا کو دیکھتا ہے تو یہاں ہر طرف خدا کی مالکیت اور رحیمیت ابلتی ہوئی دکھائی دیتی ہے۔ اس کو ہر طرف غیر معمولی اہتمام نظر آتا ہے۔ اس کو دکھائی دیتا ہے کہ دنیا کی تمام چیزیں حیرت انگیز طورپر انسانی زندگی کے موافق بنادی گئی ہیں۔ یہ مشاہدہ اس کو بتاتا ہے کہ کائنات کا یہ عظیم کارخانہ بے مقصد نہیں ہوسکتا۔ لازمی طورپر ایسا دن آنا چاہیے جب ناشکروں سے ان کی ناشکر گزارزندگی کی باز پرس کی جائے اور شکر گزاروں کو ان کی شکر گزار زندگی کا انعام دیا جائے۔ وہ بے اختیار کہہ اٹھتا ہے کہ خدایا! تو فیصلہ کے دن کا مالک ہے۔ میں اپنے آپ کو تیرے آگے ڈالتا ہوں اور تجھ سے مدد چاہتا ہوں، تو مجھ کو اپنے سایہ میں لے لے۔ خدایا! ہم کو وہ راستہ دکھا جو تیرے نزدیک سچا راستہ ہے۔ ہم کو اس راستہ پر چلنے کی توفیق دے جو تیرے مقبول بندوں کا راستہ ہے۔ ہم کو اس راستے سے بچا جو بھٹکے ہوئے لوگوں کا راستہ ہے یا ان لوگوں کا جو اپنی ڈھٹائی کی وجہ سے تیرے غضب کا شکار ہوجاتے ہیں۔</p><p lang=""ur"">اللہ کا مطلوب بندہ وہ ہے جو ان احساسات و کیفیات کے ساتھ دنیا میں جی رہا ہو۔ سورۂ فاتحہ اس بندۂ مومن کی چھوٹی تصویر ہے، اور بقیہ قرآن اس بندۂ مومن کی بڑی تصویر۔</p>"
12,"<p lang=""ur"">اس میں شک نہیں کہ قرآن ہدایت کی کتاب ہے۔ مگر وہ ہدایت کی کتاب اس کے لیے ہے جو فی الواقع ہدایت کو جاننے کے معاملہ میں سنجیدہ ہو، جو اس کی پروا اور کھٹک رکھتا ہو۔ سچی طلب جو فطرت کی زمین پر اگتی ہے وہ خود پانے ہی کا ایک آغاز ہوتا ہے۔ سچی طلب اور سچی یافت دونوں ایک ہی سفر کے پچھلے اور اگلے مرحلے ہیں۔ یہ گویا خود اپنی فطرت کے بند صفحات کو کھولناہے۔ جب آدمی اس کا سچا ارادہ کرتا ہے تو فوراً فطرت کي مطابقت اور اللہ کی نصرت اس کا ساتھ دینے لگتی ہے، اس کو اپنی فطرت کی مبہم پکار کا متعین جواب ملنا شروع ہوجاتاہے۔</p><p lang=""ur"">ایک آدمی کے اندر سچی طلب کا جاگنا عالَم ظاہر کے پیچھے عالم باطن کو دیکھنے کی کوشش کرنا ہے۔ یہ تلاش جب یافت کے مرحلہ میں پہنچتی ہے تو وہ ایمان بالغیب بن جاتی ہے۔ وہی چیز جو ابتدائی مرحلہ میںایک برتر حقیقت کے آگے اپنے کو ڈال دینے کی بے قراری کا نام ہوتا ہے وہ بعد کے مرحلہ میںاللہ کا نمازی بننے کی صورت میں ڈھل جاتي ہے۔ وہی جذبہ جو ابتداء ًاپنے کو خیر اعلیٰ کے لیے وقف کردینے کے ہم معنی ہوتا ہے، وہ بعد کے مرحلہ میں اللہ کی راہ میںاپنے اثاثہ کو خرچ کرنے کی صورت اختیار کرلیتا ہے۔ وہی کھوج جو زندگی کے ہنگاموں کے آگے اس کا آخری انجام معلوم کرنے کی صورت میں کسی کے اندر ابھرتی ہے وہ آخرت پر یقین کی صورت میں اپنے سوال کا جواب پالیتی ہے۔</p><p lang=""ur"">سچائی کو پانا گویا اپنے شعو ر کو حقیقت اعلیٰ کے ہم سطح کرلینا ہے۔ جو لوگ، اس طرح حق کو پالیں وہ ہر قسم کی نفسیاتی گرہوں سے آزاد ہوجاتے ہیں۔ وہ سچائی کو اس کے بے آمیز روپ میں دیکھنے لگتے ہیں۔ اس لیے سچائی جہاں بھی ہو اور جس بندۂ خدا کی زبان سے اس کا اعلان کیا جارہا ہو وہ فوراً اس کو پہچان لیتے ہیں اور اس پر لبیک کہتے ہیں۔ کوئی جمود، کوئی تقلید اور کوئی تعصباتی دیوار ان کے لیے اعترافِ حق میں رکاوٹ نہیں بنتی۔ جن لوگوں کے اندریہ خصوصیات ہوں وہ اللہ کے سایہ میں آجاتے ہیں۔ اللہ کا بنایا ہوا نظام ان کو قبول کرلیتا ہے ان کو دنیا میں اس سچے راستہ پر چلنے کی توفیق مل جاتی ہے جس کی آخری منزل یہ ہے کہ آدمی آخرت کی ابدی نعمتوں میں داخل ہوجائے۔</p><p lang=""ur"">حق کو وہی پاسکتا ہے جو اس کا ڈھونڈھنے والا ہے اور جو ڈھونڈنے والا ہے وہ ضرور اس کو پاتا ہے۔ یہاں ڈھونڈنے اور پانے کے درمیان کوئی فاصلہ نہیں۔</p>"
14,"<p lang=""ur"">ایک شخص اپنی آنکھ کو بند کرلے تو آنکھ رکھتے ہوئے بھی وہ سورج کو نہ دیکھے گا۔ کوئی شخص اپنے کان میں روئی ڈال لے توکان رکھتے ہوئے بھی وہ باہر کی آواز کو نہیںسنے گا۔ ایسا ہی کچھ معاملہ حق کا بھی ہے۔ حق کا اعلان خواہ کتنا ہی واضح صورت میں ہورہا ہو مگر کسی کے لیے وہ قابلِ فہم یا قابلِ قبول اس وقت بنتا ہے جب کہ وہ اس کے لیے اپنے دل کے دروازے کھلا رکھے۔ جو شخص اپنے دل کے دروازے بند کرلے، اس کے لیے کائنات میں خدا کی خاموش پکار اور داعی کی زبان سے اس کا لفظی اعلان دونوں بے سود ثابت ہوں گے۔</p><p lang=""ur"">حق کی دعوت جب اپنی بے آمیز شکل میں اٹھتی ہے تو وہ اتنی زیادہ مبنی بر حقیقت اور اتنی زیادہ مطابقِ فطرت ہوتی ہے کہ کوئی شخص اس کی نوعیت کو سمجھنے سے عاجز نہیں رہ سکتا۔ جو شخص بھی کھلے ذہن سے اس کو دیکھے گا اس کا دل گواہی دے گا کہ یہ عین حق ہے۔ مگر اُس وقت عملی صورت حال یہ ہوتی ہے کہ ایک طرف وقت کا ڈھانچہ ہوتا ہے جو صدیوں کے عمل سے ایک خاص صورت میں قائم ہوجاتا ہے۔ اس ڈھانچہ کے تحت کچھ مذہبی یا غیر مذہبی گدیاں بن جاتی ہیں جن پر کچھ لوگ بیٹھے ہوئے ہوتے ہیں۔ کچھ عزت و شہرت کی صورتیں رائج ہوجاتی ہیں جن کے جھنڈے اٹھا کر کچھ لو گ وقت کے اکابر کا مقام حاصل کیے ہوئے ہوتے ہیں۔ کچھ کاروبار اور مفادات قائم ہوجاتے ہیں جن کے ساتھ اپنے کو وابستہ کرکے بہت سے لوگ اطمینان کی زندگی گزاررہے ہوتے ہیں۔</p><p lang=""ur"">ان حالات میں جب ایک غیر معروف کونے سے اللہ اپنے ایک بندے کو کھڑا کرتا ہے اور اس کی زبان سے اپنی مرضی کا اعلان کراتا ہے تو اکثر ایسا ہوتا ہے کہ اس قسم کے لوگوں کو اپنی بنی بنائی دنیا بھنگ ہوتی نظر آتی ہے۔ حق کے پیغام کی تمام تر صداقت کے باوجود دو چیزیں ان کے لیے اس کو صحیح طورپر سمجھنے میںرکاوٹ بن جاتی ہیں— کبر اوردنیا پرستی۔ جو لوگ مروجہ ڈھانچہ میں بڑائی کے مقامات پر بیٹھے ہوئے ہوں، ان کو ایک ’’چھوٹے آدمی‘‘ کی بات ماننے میںاپنی عزت خطرہ میں پڑتی ہوئی نظر آتی ہے۔ یہ احساس ان کے اندر گھمنڈ کی نفسیات کو جگادیتا ہے۔ داعی کو وہ اپنے مقابلہ میں حقیر سمجھ کر اس کی دعوت کو نظر انداز کردیتے ہیں۔ اسی طرح دنیوی مفادات کا سوال بھی قبولِ حق میںرکاوٹ بن جاتا ہے۔ کیوں کہ حق کا داعی مروجہ سماجي روايت کا نمائندہ نہیںہوتا۔ وہ ایک نئی اور غیر مانوس آواز کو لے کر اٹھتا ہے، اس لیے اس کو ماننے کی صورت میں لوگوں کو اپنے مفادات کا ڈھانچہ ٹوٹتا ہوا نظر آتا ہے۔</p><p lang=""ur"">یہی وہ کنڈیشننگ کی حالت ہے جس کو قرآن میں مہر لگانے سے تعبیر کیا گیاہے۔ جو لوگ دعوت حق کے معاملہ کو سنجیدہ معاملہ نہ سمجھیں ، جو گھمنڈ اور دنیا پرستی کی نفسیات میں مبتلا ہوں ، ان کے ذہن کے اوپر ایسے غیر محسوس پردے پڑ جاتے ہیں جو حق بات کو ان کے ذہن میں داخل نہیں ہونے دیتے۔ کسی چیز کے بارے میں آدمی کے اندر مخالفانہ نفسیات جاگ اٹھیں تو اس کے بعد وہ اس کی معقولیت کو سمجھ نہیں پاتا۔ خواہ اس کے حق میں کتنے ہی واضح دلائل پیش کیے جارہے ہوں ۔</p>"
17,"<p lang=""ur"">عرب کے لوگوں نے شرک کو سچائی سمجھ کر اختیار کر رکھا تھا۔پیغمبر کی دعوتِ توحید سے شرک کو ماننے والوں کے عقائد متزلزل ہوئے تو اس میں ان لوگوں کو خطرہ محسوس ہونے لگا جو شرک کی زمین پر اپنی سرداری قائم کيے ہوئے تھے۔ ایک عام آدمی کے ليے شرک کو چھوڑنا صرف اپنے آبائی دین کو چھوڑنا ہوتا ہے۔ جب کہ ایک سردار کے ليے شرک کا خاتمہ اس کی سرداری کے خاتمہ کے ہم معنی ہے۔ اس ليے ہر دور میں بے آمیز دین کی دعوت کے سب سے زیادہ مخالف وہ لوگ بن جاتے ہیں جو ملاوٹی دین کی بنیاد پر اپنی قیادت قائم کيے ہوئے ہوں۔</p><p lang=""ur"">یہ لوگ حق کی دعوت اور اس کے داعی کے بارے میں لایعنی بحثیں پیدا کرتے ہیں۔ وہ کوشش کرتے ہیں کہ ان کے زیر اثر عوام دعوت کے بارے میں مشتبہ ہوجائیں۔ اور بدستور اپنے رواجی دین پر قائم رہیں۔</p><p lang=""ur"">حق کی یہ مخالفت وہ صرف اس ليے کرتے ہیں کہ خود ساختہ دین کی بنیاد پر انھوں نے جو اپنی جھوٹی بڑائی قائم کررکھی ہے، وہ بدستور قائم رہے۔ ان کو سچائی سے زیادہ اپنی ذات سے دلچسپی ہوتی ہے۔ ایسے لوگ خدا کے نزدیک بہت بڑے مجرم ہیں۔ قیامت میں ا ن کے حصہ میں رسوائی اور عذاب کے سوا کچھ آنے والا نہیں۔</p>"
18,"<p lang=""ur"">خدا کی اس دنیا میں کامیابی صرف اس شخص کے ليے ہے جو صاحبِ ایمان ہو، جو کسی اور والا نہ ہو کر ایک اللہ والا بن جائے۔ جس کی زندگی اندر سے باہر تک ایمان میں ڈھل گئی ہو۔</p><p lang=""ur"">جب کسی شخص کو ایمان ملتاہے تو یہ سادہ سی بات نہیں ہوتی۔ یہ اس کی زندگی میںایک انقلاب آنے کے ہم معنی ہوتاہے۔ اب وہ اللہ کی عبادت کرنے والا اور اس کے آگے جھکنے والا بن جاتا ہے۔ اس کی سنجیدگی اتنی بڑھ جاتی ہے کہ بے فائدہ مشاغل میں وقت ضائع کرنا اس کو ہلاکت معلوم ہونے لگتا ہے۔ وہ اپنی کمائی کا ایک حصہ خدا کے نام پر نکالتا ہے۔ اور اس سے ضرورت مندوں کی مدد کرتاہے۔ وہ اپنی شہوانی خواہشات کو کنٹرول میں رکھنے والا بن جاتا ہے۔ اور اس کو انھیں حد ود کے اندر استعمال کرتا ہے جو خدا نے اس کے ليے مقرر کردی ہیں۔ وہ دنیا میں ایک ذمہ دار آدمی کی طرح زندگی گزارتا ہے۔ دوسرے کی امانت میں وہ کبھی خیانت نہیں کرتا۔ کسی سے جب وہ کوئی عہد کرلیتا ہے تو وہ کبھی اس کے خلاف نہیںجاتا۔</p><p lang=""ur"">جن لوگوں کے اندر یہ خصوصیات ہوں وہ اللہ کے مطلوب بندے ہیں۔ یہی وہ لوگ ہیں جن کے ليے خدا نے جنت الفردوس کی معیاری دنیا تیار کر رکھی ہے۔ موت کے بعد وہ اس کی فضا میں داخل کردئے جائیں گے تاکہ ابدی طورپر اس کے اندر عیش کرتے رہیں۔</p>"
23,"<p lang=""ur"">جو لوگ فائدوں اور مصلحتوں کو اولین اہمیت ديے ہوئے ہوتے ہیں ان کے نزدیک یہ نادانی کی بات ہوتی ہے کہ کوئی شخص تحفظات کے بغیر اپنے آپ کو ہمہ تن حق کے حوالے کردے۔ ایسے لوگوں کی حقیقی وفاداریاں اپنے دنیوی مفادات کے ساتھ ہوتی ہیں۔البتہ اسی کے ساتھ وہ حق سے بھی اپنا ایک ظاہری رشتہ قائم کرلیتے ہیں۔ اس کو وہ عقل مندی سمجھتے ہیں۔ وہ سمجھتے ہیں کہ اس طرح ان کی دنیا بھی محفوظ ہے اور اسی کے ساتھ ان کوحق پرستی کا تمغہ بھی حاصل ہے۔ مگر یہ ایک ایسی خوش فہمی ہے جو صرف آدمی کے اپنے دماغ میںہوتی ہے۔ اس کے دماغ کے باہر کہیں اس کا وجود نہیں ہوتا۔ آزمائش کا ہر موقع ان کو سچے دین سے کچھ اور دور، اور اپنے مفاد پرستانہ دین سے کچھ اور قریب کردیتا ہے۔ اس طرح گویا ان کے نفاق کا مرض بڑھتا رہتا ہے۔ ایسے لوگ جب سچے مسلمانوں کو دیکھتے ہیں تو ان کا احساس یہ ہوتا ہے کہ وہ خواہ مخواہ سچائی کی خاطر اپنے کو برباد کررہے ہیں۔ اس کے مقابلے میں اپنے طریقے کو وہ اصلاح کا طریقہ کہتے ہیں۔ کیوں کہ ان کو نظر آتا ہے کہ اس طرح کسی سے جھگڑا مول لیے بغیر اپنے سفر کو کامیابی کے ساتھ طے کیا جاسکتا ہے۔ مگر یہ صرف بے شعوری کی بات ہے۔ اگر وہ گہرائی کے ساتھ سوچیں تو ان پر کھلے گا کہ اصلاح یہ ہے کہ بندے صرف اپنے رب کے ہوجائیں۔ اس کے برعکس، فساد یہ ہے کہ خدا اور بندے کے تعلق کو درست کرنے کے لیے جو تحریک چلے اس میں روڑے اٹکائے جائیں۔ ان کا یہ بظاہر نفع کا سودا حقیقۃً گھاٹے کا سودا ہے۔ کیوں کہ وہ بے آمیز حق کو چھوڑ کر ملاوٹی حق کو اپنے لیے پسند کررہے ہیں جو کسی کے کچھ کام آنے والا نہیں۔ اپنے دنیوی معاملات میںہوشیار ہونا اور آخرت کے معاملہ میں سرسری توقعات کو کافی سمجھنا، گویا خدا کے سامنے جھوٹ بولنا ہے۔ جو لوگ ایسا کریں ان کو بہت جلد معلوم ہوجائے گا کہ اس قسم کی جھوٹی زندگی آدمی کو اللہ کے یہاں عذاب کے سوا کسی اورچیز کا مستحق نہیں بناتی۔</p>"
27,"<p lang=""ur"">کسی کمرے میں کالی اور سفید چیزیں ہوں تو جب تک اندھیرا ہے وہ اندھیرے میں گم رہیں گی۔ مگر روشنی جلاتے ہی کالی چیز کالی اور سفید چیز سفید دکھائی دینے لگے گی۔ یہی حال اللہ کی طرف سے اٹھنے والی دعوتِ نبوت کا ہے۔ یہ خدائی روشنی جب ظاہر ہوتی ہے تو اس کے اجالے میں ہدایت اور ضلالت صاف صاف دکھائی دینے لگتی ہیں۔ نیک عمل کیا ہے اور اس کے ثمرات کیا ہیں، برا عمل کیا ہے اور اس کے ثمرات کیا ہیں، سب کھل کر ٹھیک ٹھیک سامنے آجاتا ہے۔ مگر جو لوگ اپنے آپ کو حق کے تابع کرنے کے بجائے حق کو اپنا تابع بنائے ہوئے تھے، وہ اس صورت حال کو دیکھ کر گھبرا اٹھتے ہیں۔ ان کا چھپا ہوا حسد اور گھمنڈ زندہ ہوکر ان کو اپنی لپیٹ میں لے لیتا ہے۔ خدائی آئینہ میںاپنا چہرہ دیکھتے ہی ان کی منفی نفسیات ابھر آتی ہیں۔ ان کے اندرونی تعصبات ان کے حواس پر اس طرح چھا جاتے ہیں کہ آنکھ، کان، زبان رکھتے ہوئے بھی وہ ایسے ہوجاتے ہیں گویا کہ وہ اندھے ہیں، وہ بہرے ہیں، وہ گونگے ہیں۔ اب وہ نہ تو کسی پکارنے والےکی  پکار کو سن سکتے ہیں، نہ اس کی پکار کا جواب دے سکتے ہیں، نہ کسی قسم کی نشانی سے رہنمائی حاصل کرسکتے ہیں۔ ان کے لیے صحیح رویہ یہ تھا کہ پکارنے والے کی پکار پر غور کرتے، مگر اس کے بجائے انھوں نے اس سے بچنے کا سادہ سا علاج یہ دریافت کیا ہے کہ اس کی بات کو سرے سے سنا ہی نہ جائے، اس کو کوئی اہمیت ہی نہ دی جائے۔</p><p lang=""ur"">اسی طرح ایک اور نفسیات ہے جو حق کو قبول کرنے میں رکاوٹ بنتی ہے۔ یہ ڈر کی نفسیات ہے۔ بارش اللہ تعالیٰ کی ایک بہت بڑی نعمت ہے۔ مگر بارش جب آتی ہے تو اپنے ساتھ کڑک اور گرج بھی لے آتی ہے جس سے کمزور لوگ ہیبت کھا جاتے ہیں۔ اسی طرح جب اللہ کی طرف سے حق کی دعوت اٹھتی ہے تو ایک طرف اگر وہ انسانوں کے لیے عظیم کامرانیوں کا امکان کھولتی ہے تو دوسری طرف اس میں کچھ وقتی اندیشے بھی دکھائی دیتے ہیں— اس کو مان لینے کی صورت میں اپنی بڑائی کا خاتمہ، زندگی کے بنے بنائے نقشے کو بدلنے کی ضرورت، رواجی ڈھانچہ سے ٹکراؤ کے مسائل، آخرت کے بارے میں خوش خیالیوں کے بجائے حقائق پر بھروسہ کرنا۔ اس قسم کے اندیشوں کو دیکھ کر وہ کبھی رک جاتے ہیں اور کبھی تذبذب کے ساتھ چند قدم آگے بڑھتے ہیں۔ مگر یہ احتیاطیں ان کے کچھ بھی کام آنے والی نہیں ہیں۔ کیوں کہ خدائی پکار کے لیے اپنے کوکھلے دل سے پیش نہ کرکے وہ زیادہ شدید طورپر اپنے کوخدا کی نظر میں قابل سزا بنا رہے ہیں۔</p>"
32,"<p lang=""ur"">انسان اور انسان کے سوا جو کچھ زمین و آسمان میں ہے سب کا پیدا کرنے والا صرف اللہ ہے۔ اس نے پوری کائنات کو نہایت حکمت کے ساتھ قائم کیا ہے۔ وہ ہر آن ان کی پرورش کررہا ہے۔ اس لیے انسان کے لیے صحیح رویہ صرف یہ ہے کہ وہ اللہ کو بغیر کسی شرکت کے خالق، مالک اور رازق تسلیم کرے، وہ اس کو اپنا سب کچھ بنالے۔ مگر خدا چونکہ نظر نہیں آتا اس لیے اکثر ایسا ہوتا ہے کہ آدمی کسی نظر آنے والی چیز کو اہم سمجھ کر اس کو خدائی کے مقام پر بٹھا لیتا ہے۔ وہ ایک مخلوق کو، جزئی یا کلی طورپر، خالق کے برابر ٹھہرا لیتا ہے، کبھی اس کو خدا کا نام دے کر اور کبھی خدا کا نام دیے بغیر۔</p><p lang=""ur"">یہی انسان کی اصل گمراہی ہے۔ پیغمبر کی دعوت یہ ہوتی ہے کہ آدمی صرف ایک خدا کو بڑائی کا مقام دے۔ اس کے علاوہ جس جس کو اس نے خدائی عظمت کے مقام پر بٹھا رکھا ہے اس کو عظمت کے مقام سے اتار دے۔ جب خالص خدا پرستی کی دعوت اٹھتی ہے تو وہ تمام لوگ اپنے اوپر اس کی زد پڑتی ہوئی محسوس کرنے لگتے ہیں جن کا دل خدا کے سوا کہیں اور اٹکا ہوا ہو۔جنھوں نے خدا کے سوا کسی اور کے لیے بھی عظمت کو خاص کررکھا ہو۔ ایسے لوگوں کو اپنے فرضی معبودوں سے جو شدید تعلق ہوچکا ہوتا ہے اس کی وجہ سے ان کے لیے یہ یقین کرنا مشکل ہوتا ہے کہ وہ بے حقیقت ہیں اور حقیقت صرف اس پیغام کی ہے جو آدمیوں میںسے ایک آدمی کی زبان سے سنایا جارہا ہے۔</p><p lang=""ur"">جو دعوت خدا کی طرف سے اٹھے اس کے اندر لازمی طورپر خدائی شان شامل ہوجاتی ہے۔ اس کا ناقابلِ تقلید اسلوب اور اس کا غیر مفتوح استدلال اس بات کی کھلی علامت ہوتاہے کہ وہ خدا کی طرف سے ہے۔ اس کے باوجود جو لوگ انکار کریں ان کو خدا کی دنیا میں جہنم کے سوا کہیں اور پناہ نہیں مل سکتی۔ البتہ جو لوگ خدا کے کلام میں خدا کو پالیں انھوں نے گویا آج کی دنیا میں کل کی دنیا کو دیکھ لیا۔ یہی لوگ ہیں جو آخرت کے باغوں میں داخل کيے جائیں گے۔</p>"
36,"<p lang=""ur"">کسی بندہ کے اوپر اللہ کا سب سے پہلا حق یہ ہے کہ وہ عبدیت کے اس عہد کو نبھائے جو پیدا کرنے والے اور پیدا کیے جانے والے کے درمیان اول روز سے قائم ہوچکا ہے۔ پھر انسانوں کے درمیان وہ اس طرح رہے کہ وہ ان تمام رشتوں اور تعلقات کو پوری طرح استوار کیے ہوئے ہو جن کے استوار کیے جانے کا اللہ نے حکم دیا ہے۔ تیسری چیز یہ کہ جب خدا اپنے ایک بندے کی زبان سے اپنے پیغام کا اعلان کرائے تو اس کے خلاف بے بنیاد باتیں نکال کر خدا کے بندوں کو اس سےدور نه كيا جائے۔ حق کی دعوت دینا دراصل لوگوں کو فطری حالت پر لانے کی کوشش کرنا ہے،اس لیے جو شخص لوگوں کو اس سے روکتا ہے وہ زمین میں فساد ڈالنے کا مجرم بنتا ہے۔</p><p lang=""ur"">اللہ کا یہ احسان کہ وہ آدمی کو عدم سے وجود میں لے آیا، اتنا بڑا احسان ہے کہ آدمی کو ہمہ تن اس کے آگے بچھ جانا چاہیے۔ پھر اللہ نے انسان کو پیداکرکے یونہی چھوڑ نہیں دیا بلکہ اس کو رہنے کے لیے ایک ایسی زمین دی جو اس کے لیے انتہائی طورپر موافق ڈھنگ سے بنائی گئی تھی۔ پھر بات صرف اتنی ہی نہیں ہے، بلکہ اس سے بہت آگے کی ہے۔ انسان ہر وقت اس نازک امکان کے کنارے کھڑا ہوا ہے کہ اس کی موت آجائے اور اچانک وہ مالک کائنات کے سامنے حساب کتاب کے لیے پیش کردیا جائے۔ ان باتوں کا تقاضا ہے کہ آدمی ہمہ تن اللہ کا ہو جائے، اس کی یاد اور اس کی اطاعت میں زندگی گزارے۔ ساری عمر وہ اس کا بندہ بنا رہے۔</p><p lang=""ur"">پیغمبرانہ دعوت کے انتہائی واضح اور مدلّل ہونے کے باوجود کیوں بہت سے لوگ اس کو قبول نہیں کر پاتے۔ اس کی سب سے بڑی وجہ شوشه يا غير متعلق (irrelevant)بات نکالنے کا فتنہ ہے۔ آدمی کے اندر نصیحت پکڑنے کا ذہن نہ ہو تو وہ کسی بات کو سنجیدگی کے ساتھ نہیں لیتاایسے آدمی کے سامنے جب بھی کوئی دلیل آتی ہے تو وہ اس کو سطحی طورپر دیکھ کر ایک شوشہ ياغير متعلق بات نکال لیتا ہے۔ اس طرح وہ یہ ظاہر کرتا ہے کہ یہ دعوت کوئی معقول دعوت نہیں ہے۔ اگر وہ معقول دعوت ہوتی تو کیسے ممکن تھا کہ اس میں اس قسم کی بے وزن باتیں شامل ہوں۔ مگر جو نصیحت پکڑنے والے ذہن ہیں، جو باتوں پر سنجیدگی سے غور کرتے ہیں، ان کو حق کے پہچاننے میں دیر نہیں لگتی، خواہ حق کو ’’مچھر‘‘ جیسی مثالوں ہی میں کیوںنہ بیان کیا گیا ہو۔</p>"
40,"<p lang=""ur"">خلیفہ کے لفظی معنی ہیں کسی کے بعد اس کی جگہ لینے والا، جانشین۔ وراثتی اقتدار کے زمانہ میں یہ لفظ کثرت سے حکمرانوں کے لیے استعمال ہوا جو ایک کے بعد دوسرے کی جگہ تخت پر بیٹھتے تھے۔ اس طرح استعمالی مفہوم کے لحاظ سے خلیفہ کا لفظ صاحب اقتدار کے ہم معنی ہو گیا۔</p><p lang=""ur"">اللہ تعالیٰ نے جب انسان کو پیدا کیا تو یہ بھی فیصلہ فرمایا کہ وہ ایک با اختیار مخلوق کی حیثیت سے زمین پر آباد ہوگا۔ فرشتوں کو اندیشہ ہوا کہ اختیار واقتدار پاکر انسان بگڑ نہ جائے اور زمین میں خوں ریزی کرنے لگے۔ فرشتوں کا یہ اندیشہ غلط نہ تھا۔ اللہ کو بھی اس امکان کا پورا علم تھا۔ مگر اللہ کی نظر اس بات پر تھی کہ انسانوں میںاگر بہت سے لوگ آزادی پاکر بگڑیں گے تو ایک قابل لحاظ تعداد ان لوگوں کی بھی ہوگی جو آزادی اور اختیار کے باوجود اپنی حیثیت کو اور اپنے رب کے مقام کو پہچانیں گے اور کسی دباؤ کے بغیر خود اپنے ارادہ سے تسلیم واطاعت کا طریقہ اختیار کریں گے۔ یہ دوسری قسم کے لوگ اگرچہ نسبتاً کم تعداد میں ہوں گے مگر وہ فصل کے دانوں کی طرح قیمتی ہوں گے۔ فصل میں لکڑی اور بھس کی مقدار ہمیشہ بہت زیادہ ہوتی ہے ۔ مگر دانے کم ہونے کے باوجود، اتنے قیمتی ہوتے ہیں کہ ان کی خاطر لکڑی اور بھس کے ڈھیر کو بھی اُگنے اورپھیلنے کا موقع دے دیا جاتا ہے۔</p><p lang=""ur"">اللہ نے اپنی قدرت سے آدم کی تمام ذرّیت کو بیک وقت ان کے سامنے کردیا۔ پھرفرشتوں سے کہا کہ دیکھو یہ ہے اولاد آدم۔ اب بتاؤ کہ ان میں کون کون اور کیسے کیسے لوگ ہیں۔ فرشتے عد م واقفیت کي وجہ سے نہ بتا سکے۔ اللہ تعالیٰ نے آدم کو ان کے ناموں، بالفاظ دیگر شخصیتوں سے آگاہ کیا اور پھر کہا کہ فرشتوں کے سامنے ان کا تعارف کراؤ۔ جب آدم نے تعارف کرایا تو فرشتوں کو معلوم ہوا کہ آدم کی اولاد میں فسادیوںاور برُے لوگوں کے علاوہ کیسے کیسے صلحا ومتقین ہوں گے۔انسان کا سب سے بڑا جرم، انکار رب کے بعد، زمین میں فساد کرنا اور خون بہانا ہے۔کسی فرد یا گروہ کے لیے جائز نہیں کہ وہ ایسی کارروائیاں کرے جس کے نتیجے میں زمین پر خدا کا قائم کیا ہوا فطری نظام بگڑ جائے، انسان انسان کی جان مارنے لگے۔ ایسا ہر فعل آدمی کو خدا کی رحمتوں سے محروم کردیتا ہے۔ زمین میں خدا کے بنائے ہوئے فطری نظام کا قائم رہنا اس کی اصلاح ہے اور زمین کے فطری نظام کو بگاڑنا اس کا فساد۔</p>"
