id,text,foot_notes
1,ߊߟߊ߫ ߕߐ߮ ߟߊ߫ ߡߊ߬ߤߌ߬ߣߊ߬ߟߊ߫ ߟߋ߬ ߤߌߣߟߊ߫ ߟߋ߬.,
2,ߕߊ߲߬ߘߏ ߊߟߊ߫ ߦߋ߫ ߸ ߖߊ߯ߓߊ ( ߘߏ߲߬ߞߏ ) ߟߎ߫ ߡߊ߰ߙߌ ߟߋ߬.,
3,ߡߊ߬ߤߌ߬ߣߊ߬ߟߊ߫ ߟߋ߬ ߤߌߣߟߊ߫ ߟߋ߬.,
4,ߛߙߊ߬ߟߌ ߟߏ߲ ߡߊ߲߬ߛߊ ߟߋ߬.,
5,ߊ߲ ߧߴߌߟߋ ߟߋ߫ ߓߊ߬ߕߏ߬ ߟߊ߫ ߸ ߊ߲ ߧߴߌߟߋ ߟߋ߬ ߡߊߕߙߊ߫ ߟߊ߫,
6,ߖߊ߰ߣߌ߲߬ ߊ߲ ߞߊ߲ߘߊ߫ ߛߌߟߊ߫ ߕߋߟߋ߲ߣߍ߲߫ ߓߐߚߐ ߞߊ߲߬.,
7,ߌ ߣߍߡߊߣߍ߲߫ ߡߍ߲ ߠߎ߫ ߡߊ߬ ߏ߬ ߟߎ߬ ߟߊ߫ ߛߌߟߊ ߟߋ߬ ߞߏ߫ ߦߋ߫ ߸ ߡߐߣߍ߫ ߞߍߣߍ߲߫ ߡߍ߲ ߠߎ߫ ߡߊ߬ ߏ߬ ߟߎ߬ ߟߊ߫ ߛߌߟߊ ߞߏ߫ ߕߍ߫ ߸ ߝߟߌ߬ߓߊ߰ߒߕߋ ߟߎ߬ ߝߣߊ߫ ߕߊ ߞߏ߫ ߕߍ߫.,
8,ߊ. ߟ. ߡ. ( ߊߟߌߝ. ߟߊ߯ߡ. ߡߌ߯ߡ ),
9,ߟߍߙߊ ߡߍ߲ ߣߌ߲߬ ߛߌߞߊ߫ ߛߌ߫ ߕߴߊ߬ ߘߐ߫ ߸ ߝߊ߲ߕߊ߲ߞߟߊ ߟߎ߬ ߞߊ߲ߘߊ߫ ߝߋ߲ ߠߋ߬.,
10,ߏ߬ ߟߎ߫ ߟߋ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߣߍ߲߬ ߞߏ߫ ߘߏ߰ߣߍ߲ ߡߊ߬ ߸ ߊ߬ߟߎ߬ ߦߋ߫ ߛߊߟߌ ߟߐ߬ ߟߊ߫ ߸ ߊ߬ ߣߴߊ߲ ߞߵߊ߬ߟߎ߫ ߤߊ߬ߙߌ߬ߖߍ߰ ߝߋ߲ ߡߍ߲ ߠߊ߫ ߸ ߊ߬ߟߎ߬ ߦߋ߫ ߖߘߍ߬ߡߊ߬ߓߐ ߞߍ߫ ߟߴߏ߬ ߘߐ߫.,
11,ߟߍߙߊ ߡߍ߲ ߠߊߖߌ߰ߣߴߌ ߡߊ߬ ߏ߱ ߸ ߡߍ߲ ߠߊߖߌ߰ߣߴߌ ߢߍ߫ ߏ߱ ߸ ߊ߬ߟߎ߬ ߟߊߣߴߏ߬ ߓߍ߯ ߟߊ߫ ߸ ߊ߬ ߣߴߊ߬ߟߎ߬ ߟߊߣߍ߲߫ ߟߊߞߌߙߊߞߏ ߝߣߊ߫ ߟߊ߫.,
12,ߏ߬ ߟߎ߬ ߦߋ߫ ߞߊ߲ߘߦߊ߫ ߟߋ߫ ߞߊ߲߬ ߞߊ߬ ߝߘߴߊ߬ߟߎ߫ ߡߊ߰ߙߌ ߟߊ߫ ߸ ߒ߬ߓߊ߬ ߏ߬ ߟߎ߫ ߟߋ߬ ߛߎߘߊ߲ߓߊ߮ ߟߎ߬ ߘߌ߫.,
13,ߒ߬ߞߊ߬ ߡߍ߲ ߠߎ߫ ߓߊ߲߬ߣߍ߲߬ ߛߊ߫ ߸ ߌ ߞߊ߬ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߊ߫ ߞߍ߫ ߏ߬ ߟߎ߬ ߦߋ߫ ߓߊ߬ ߸ ߥߊߟߴߌ ߡߊ߫ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߊ߫ ߞߍ߫ ߊ߬ߟߎ߬ ߦߋ߫ ߓߊ߬ ߸ ߏ߬ ߓߍ߯ ߞߊ߫ ߞߊ߲߫ ߏ߬ ߟߎ߫ ߡߊ߬ ، ߓߊ ߊ߬ߟߎ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߕߐ߫ ߕߍ߫.,
14,ߊߟߊ߫ ߣߵߏ߬ ߟߎ߫ ߛߣߐ߬ߡߍ ߣߴߊ߬ߟߎ߬ ߕߟߏߘߋ߲ ߠߎ߬ ߟߊߓߊ߬ߘߌ߬ ߟߊ߫ ߟߋ߬ ߸ ߞߊ߬ ߓߊ߲߫ ߞߊ߬ ߞߎ߲߬ߠߊ߬ߓߘߌ߬ߟߊ ߟߴߊ߬ߟߎ߬ ߢߊ ߟߊ߫ ߜߎߕߙߎ߬ ، ߤߊ߲߫ ߸ ߖߊ߲߰ߞߕߊ߬ߓߊ߫ ߦߴߏ߬ ߟߎ߬ ߦߋ߫ ߞߟߋ߫߹.,
15,ߡߐ߱ ߘߏ߫ ߟߎ߫ ߓߍ߫ ߸ ߏ߬ ߟߎ߫ ߟߴߊ߬ ߝߐ߫ ߟߊ߫ ߕߋ߲߬ ߞߏ߫ ߒ߬ߠߎ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߣߍ߲߫ ߠߋ߬ ߊߟߊ߫ ߣߌ߫ ߟߏ߲ߠߊߓߊ߲ ߡߊ߬ ߸ ߞߵߊ߬ ߕߍ߬ߘߍ߫ ߊ߬ߟߎ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߣߍ߲߫ ߕߍ߫.,
16,ߏ߬ ߟߎ߬ ߦߴߏ߬ ߝߐ߫ ߟߴߊߟߊ߫ ߣߌ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߓߊ߮ ߟߎ߬ ߜߍߙߍ߲ߞߍ߫ ߞߊ߲ ߠߋ߫ ߡߊ߬ ߸ ߊ߬ߟߎ߫ ߘߏ߲߬ ߕߍ߫ ߜߍߙߍ߲ߞߍߟߌ ߏ߬ ߞߍ߫ ߟߊ߫ ߝߏߦߌ߬ ߟߴߊ߬ߟߎ߫ ߖߘߍ߬ ߞߐ߫ ߸ ߞߏ߬ߣߵߊ߬ߟߎ߬ ߡߴߏ߬ ߟߐ߲߫.,
17,ߖߌ߰ߙߌ߬ߖߐ߯ߙߐ ߟߴߏ߬ ߟߎ߫ ߛߣߐ߬ߡߍ ߘߐ߫ ߸ ߊߟߊ߫ ߣߵߏ߬ ߟߎ߬ ߟߊ߫ ߖߌ߰ߙߌ߬ߖߐ߯ߙߐ ߏ߬ ߟߋ ߡߊߞߊ߬ߝߏ߬ ߟߊ߫ ߓߘߍߞߍ߭ ، ߞߏ߬ߣߌ߲߬ ߖߊ߲߰ߞߕߊ߬ ߘߌߡߌ߲ߣߍ߲߫ ߠߴߏ߬ ߟߎ߬ ߦߋ߫ ߞߊ߬ߡߊߛߐ߬ߘߐ߲߫ ߊ߬ߟߎ߬ ߟߊ߫ ߥߎߦߊߝߐ ߝߍ߬.,
18,ߊ߬ ߓߊ߯ ߝߐ߫ ߏ߬ ߟߎ߬ ߦߋ߫ ߸ ߞߏ߫ ߊߟߎ߫ ߞߊߣߊ߬ ߕߌߢߍߟߌ ߞߍ߫ ߘߎ߱ ߞߣߐ߫ (ߘߋ߬) ߸ ߊ߬ߟߎ߬ ߘߴߊ߬ ߝߐ߫ ߞߏ߫ ߒ߬ߠߎ߬ ߦߋ߫ ߞߏ߫ ߘߐߓߍ߲ߠߊ ߟߎ߫ ߟߋ߬ ߘߌ߫.,
19,ߞߵߊ߬ ߕߘߍ߬ ߛߎߋ߯ ߕߌߢߍߟߌߟߊ ߟߎ߫ ߟߋ߬ ߸ ߞߏ߬ߣߵߊ߬ߟߎ߬ ߕߴߏ ߞߊ߬ߟߊߡߊ߬.,
20,ߣߴߊ߬ ߘߏ߲߬ ߝߐ߫ ߘߴߊ߬ߟߎ߬ ߦߋ߫ ߸ ߞߏ߫ ߊߟߎ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߫ ߦߏ߫ ߡߐ߱ ( ߕߐ߭ ) ߟߎ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߣߍ߲߫ ߢߊ ߡߍ߲ ، ߊ߬ߟߎ߬ ߘߴߊ߬ ߝߐ߫ ߞߏ߫ ߌ߬ߦߏ߯ ߒ߬ߠߎ߬ ߦߋ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߫ ߖߎߥߊ ߟߎ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߢߊ ߡߊ߬؟ ߞߵߊ߬ ߕߘߍ߬ ߖߐ߫ ߊ߬ߟߎ ߟߋ߬ ߖߎߥߊ ߘߌ߫ ߸ ߞߏ߬ߣߵߊ߬ߟߎ߬ ߡߴߏ߬ ߟߐ߲߫.,
21,ߣߴߊ߬ߟߎ߫ ߓߍ߲߬ ߘߊ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߓߊ߮ ߟߎ߬ ߘߌ߫ ߸ ߊ߬ߟߎ߬ ߘߴߊ߬ ߝߐ߫ ߞߏ߫ ߊ߲ ߓߘߊ߫ ߘߍ߲߬ߞߣߍ߬ߦߊ߫ ، ߓߊ߬ߙߌ߬ ߊ߬ߟߎ߬ ߓߊ߯ ߛߊ߬ߦߌ߲߫ ߊ߬ߟߎ߬ ߟߊ߫ ߜߍ߬ߘߍ ߟߎ߫ ߡߊ߬ ߸ ߊ߬ߟߎ߬ ߘߴߊ߬ ߝߐ߫ ߏ߬ ߟߎ߬ ߦߋ߫ ߞߏ߫ ߒ߬ߠߎ߬ ߦߴߊߟߎ ߟߋ߫ ߝߍ߬ ߞߟߋ߫ ߸ ߊ߲ ߧߋ߫ ߘߐ ߢߌ߲߬ ߠߎ߬ ߘߐߓߊ߬ߙߊ߲߬ߕߌ ߟߋ߬ ߟߊ߫.,
22,ߊߟߊ߫ ߘߏ߲߬ ߝߣߊ߫ ߦߴߊ߬ߟߎ߬ ߘߐߓߊ߬ߙߊ߲߬ߕߌ߬ ߟߴߏ߬ ߟߋ ߘߐ߫ ߸ ߞߵߊ߬ߟߎ߫ ߝߊ߲߬ߞߊߘߏ߲߬ ߊ߬ߟߎ߬ ߟߊ߫ ߘߊ߲߬ߠߊ߬ߕߊߡߌ߲ ߘߐ߫ ߡߎߣߎ߲߬ ߖߐ߫ ߸ ߞߣߵߊ߬ߟߎ߬ ߕߏ߫ ߞߣߐ߬ߘߐ߬ߝߟߌ ߘߐ߫ ߔߍߘߍ߲ߞߍ߲ߛߍ߲߫.,
23,ߏ߬ ߟߎ߫ ߟߋ߬ ߣߊ߬ ߝߌ߬ߟߌ ߛߊ߲߬ ߠߊ߫ ߞߏ߫ ߞߊ߲ߘߦߊ ߟߴߏ߬ ߘߌ߫ ، ߞߏ߫ ߝߌ߬ߟߊ ߏ߬ ߖߊ߬ߥߏ ߡߊ߫ ߘߌߦߴߊ߬ߟߎ߬ ߟߊ߫ ߸ ߊ߬ߟߎ߫ ߘߏ߲߬ ߡߊ߫ ߞߊ߲ߘߊ߫.,
24,ߊ߬ߟߎ߬ ߟߊߒߡߊ ߟߋ߬ ߦߏ߫ ߡߐ߱ ߡߍ߲ ߢߌߣߌ߲ߣߍ߲߫ ߦߋߟߋ߲ ߡߊ߬ ߞߊ߬ ߕߊ ߟߊߡߍߣߍ߲߫ ߸ ߏ߬ ߣߵߊ߬ ߟߊߡߌߣߌ߲ ߞߣߍߦߊ߫ ߟߊ ߥߙߊߕߊߕߊ߫ ߸ ߊߟߊ߫ ߞߵߊ߬ߟߎ߬ ߟߊ߫ ߦߋߟߋ߲ ߏ߬ ߟߊߛߊ߬ ߡߐ߫ ߞߵߊ߬ߟߎ߬ ߕߏ߫ ߘߌ߬ߓߌ ߘߐ߫ ߞߌߘߌ߲ߜߊ߲߫ ߸ ߊ߬ߟߎ߬ ߢߊ߲߫ ߕߍ߫ ߝߏߦߌ߬ ߟߊ߫.,
