id,text,foot_notes
1,Ша сов къинхетаме<sup>1</sup> а‚ къинхетаме<sup>2</sup> а волчу Делан цIарца.,"<p>""БисмиллахIир-рахьманир-рахьим"" цуьнан аятех ца лерича (Абу-Хьанифатан а, кхечеран а мазх1аб), 7-гIа аят хуьлу: ""Хьо шайна оьгIаз ца ваханчеран…"" чекхдаллалц.</p>  <p>Суратан юьххьехь ""Аш āла"" боху дош ду къадар дина (яздина доцуш, дагахь долуш). Дала Шен лешна доIа хьесапехь доссина ду иза.  </p>  <p>Ша сов къинхетаме а, къинхетаме а волчу Делан цIарца – ""БисмиллахIир-рахьманир-рахьим"".  </p>  <p>Дела хьехорца, Делан цIе яккхарца д1адоло ас хIара дешар, массо а хIуманал хIалха Иза хьахаво ас, Цуьнгара гIо а лоьхуш. Веккъа Иза ву-кх Шена Iибадат дан хьакъ верг, Цуьнан къинхетамо чулаьцна массо а хIума.  </p>  <p>Цуьнца д1адолалуш ду Къуръанан хIор сурат – 9-гIа сурат Аль-товбадоцург – бусалбанаш нисбархьама массо а шайн гIуллакхаш а, дешнаш а къинхетаме волчу Делан цIарца д1адолорна т1е,         Цуьнгара гIо а лоьхуш.  </p>  <p>  Сов къинхетаме верг –  ألرحمان(Аль-Рахьман) – Дела ву, Шегахь дукха боккха къинхетам болу, Шен къинхетамо массо а хIума чулоцуш долу. Делахь а, и гуттарена долу сибат дац. Iаьрбийн маттахь فعلان ""фаIлан"" вазнехь (моделаца) кхуллучу дешнийн гуттаренан сибат ца хуьлу.  </p> | <p>  Къинхетаме верг – ألرحيم (Аль--Рахьим) – гуттар къинхетаме волу Дела. فعيل ""ФаIил"" вазнехь (моделаца) гуттаренан сибаташ долу дешнаш кхуллало.</p>  <p>Цундела тафсиран Iеламнаха иштта маьIна дина цу дешнийн:  </p>  <p>ألرحمان (Аль-Рахьман) – Сов къинхетаме верг – дуьненахь рицкъ даларца а, шайн гIуллакхашка хьажарца а массарех а шортта къинхетам болуш, бусалба а, керста а ца къестош.  </p>  <p> ألرحيم (Аль-Рахьим) – Къинхетаме верг – эхартахь Шен гуттаренан къинхетам Шех кхоьруш хиллачу муъманахах хир болуш.  </p>"
2,"Хастам<sup>1</sup>бу Далла<sup>2</sup>– Iаламийн<sup>3</sup>Дена<sup>4</sup>,","<p>  Хастам – ألحمد Аль-хьамд– вазвеш Дела хастор, Дела дукхавезар. ""Хастам"" бохучун маьIна ""шукр"" бохучул шуьйра ду. ""Шукр"" деккъа Дала деллачу ниIматашна дуьхьал баркалла алар ду.</p> | <p>  Дела – иштта гочдина Iаьрбийн дош ألله ""АллахI"".</p>  <p>АллахI – Делан цIарех уггар йоккханиг, уггар чулацаме ерг ю. Цу цIаро гулдеш ду Делан дерриге а сибаташ. И цIе кхечу цхьанна хIуманан хила йиш яц, Ша массо а хIума кхоьллина, кхобуш волу Шена бен кхечунна Iибадат дан хьакъ доцчу цхьан Делан бен.  </p> | <p>  Iалам (Iаламаш) عالم – жинсан (тайпан) цIе. Масала: адамийн Iалам, жинийн Iалам, акхаройн Iалам и. дI. кх.</p> | <p>  Iаьрбашха: رب ""Рабб"" – Кхиош-кхобург, я Кхиош-кхобуш верг, я кхиош-кхобу Дела – иштта гочдина и Iаьрбийн дош. Иза схьадаьлла Iаьрбийн رب، تربية ""рабба"", ""тарбия"" бохучу дешнех. ""Кхетор, кхиор, кхабар, кхечунан гIуллакх тергал дар"" маьIнехь ду и дош. ""Рабб"" бохучун маьIна, и цхьа кхечу дашна т1етоьхча, хила тарло: ""Шен долахь массо а хIума дерг"", ""ХIумане хьожуш верг"", ""Шена кхечара Iибадат деш верг"", ""Шена кхиберш муьтIахь болу эла"", ""ХIуманан да"" и. дI. кх.</p>"
3,"Ша сов къинхетаме‚ къинхетаме волчу,",
4,Шен долахь бекхаман де<sup>1</sup>долчу.,"<p>  Бекхаман де – Къематде, Дала хIоранна ша дуьненахь динчуьнца, шен Iамалашка хьаьжжина бекхам бийр болу, барт хоттур болу (къемат) де.</p>"
5,Хьуна Iибадат до оха‚ Хьоьга гIо а доьху<sup>1</sup>.,"<p>  Хьо, хIай АллахI- Дела, къаставо оха Iибадат дарца, гIо дехарца. Деккъа Хьуна до оха Iибадат, Хьан меле дог а дохуш, Хьан Iазапах а кхоьруш.</p>"
6,"Нисде Ахь тхо нийсачу новкъа<sup>1</sup>,","<p> Нийса некъ – Делан бакъ болу некъ, бакъ долу дин – Ислам. Цу тIе нисделахь тхо.</p>"
7,"Ахь шайна ниIмат деллачеран<sup>1</sup>новкъа,
        
      
      Хьо шайна оьгIаз<sup>2</sup>ца ваханчеран а‚ тила<sup>3</sup>ца беллачеран а новкъа.","<p>  Ахь шайна ниIмат делларш – пайхамарш, дика Iамалш йинарш, бакълийнарш, Делан новкъахь къахьегнарш, Делан дуьхьа шайн синош а, даьхни а дIаделларш. Церан новкъа нисделахь тхо.</p> | <p>  Хьо шайна оьгIазвахнарш – Хьуна дуьхьалбевлла хилла болу, Хьан дозанех бевлла, Хьо шайна оьгIазвахана Хьан мостагIий, Хьоьца хилла йолу ваIда йохийна болчу жуьгтех тера.</p> | <p>  Тилабелларш – Хьан нийсачу некъах юьстахбевлларш, Хьуна тIехь харцдерг кхоьллинарш, Iийса Делан кIант ву бохучу насарех тера.</p>  <p>  Ламаза т1ехь х1ара сурат (аль-Фатихьа) дешна ваьлча, массо а фукъах1ааша (Шар1ан 1еламнах) дика лерина Ᾱмийналар. Цуьнан маь1на ду ""Тхан до1ина жоп лолахь, х1ай веза Дела!"" Уьш берриг бартабахна иза суратан аят дац аьлла, цундела и Къуръан чохь яз ца до.  </p>"
8,Алиф-лᾱм-мῡм<sup>1</sup>.,"<p>  Алиф – лᾱм – мῡм – 1аьрбийн элпаш. Оцу элпашца д1адолош ду Дала сурат нахана хаийта къамел элпех лаьтташ хилар, элпаш Делан къайленех, Цуьнан му1жизатех хилар. Иштта Къуръанан аяташ лаьтташ ду элпех.</p><p>  Цхьадолу сураташ Дала цхьацца элпашца д1адолош ду Къуръанан тамаше а, инзаре а чулацам гайтархьама. Цхьаболу 1еламнах уьш билгалдаха г1иртина. Иштта, Абу – 1алията аьлла: أليف “Алиф"" - ألله“Аллах1“ бохучун дог1а ду, لام “Лᾱм”- لطيف“Лат1ῡф” бохучу Делан ц1еран дог1а ду, ميم“Мῡм”-  مجيد“Маджῡд“ бохучун маь1нехь ду. Кхидолу цхьацца сураташ кхечу элпашца долалуш ду, церан а цхьацца маь1наш дина. Делахь а, тоьлашдерг ду “ Цу элпашца Шена луург Далла Шена дика хаьа,”аьлла сацар. </p>"
9,"ХIара жайна,  цу чохь шеко яц, нийса некъ бу /Делах/ кхоьруш болчарна.",
10,"Уьш бу хьуламех долчух<sup>1</sup>тешаш берш, ламаз хIоттош<sup>2</sup>берш, Оха шайна деллачу рицкъанна тIера /дикачу аг1ор/ харжаш а еш<sup>3</sup> берш.","<p>  Хьуламехь дерг – иштта гочдеш ду 1аьрбийн дош غيب г1айб. Г1айб – Дала дуьйцуш долу адамна б1аьрга ца го х1уманаш ду: къематде, кошан 1азап, ялсамани, жоьжахати…</p> | <p>  Ламаз х1оттор – Деле дог а дерзийна, массо а рукна а, суннаташ а кхочуш а деш, дуьззина ламаз дар. Вуьшта хиллехьара, Ламаз дешаьлла дуьтур дара Дала.</p> | <p>   /дикачу аг1ор/ харжаш еш – Дала шайна деллачу рицкъана т1ера дикачу аг1ор харжаш еш, саг1а луш. Аято юкъадало закат а, саг1а а, Дела реза волчу аг1ор еш йолу кхин харжаш а ( шен зудчунна, шен берашна, дин даржорна, юкъарчу г1уллакхна, мохк 1алашбарна, зулам духатохарна…). Ибн-Касира аьлла: ""Дала дукха хьолехь ламаз а, /дикачу аг1ор/ харжаш яр а цхьана хьахош ду, х1унда аьлча ламаз Делан коьрта хьакъ долу дела, ткъа оьшучу метте харжаш яр нехан хьакъ долу дела. И ший а хьакъ вовшах хоттаделла ду. И шиъ бусалба стагна т1ехь долу коьрта важибаш ду. Хьадисехь ду кхо х1ума вовшах къаста йиш йоцуш доссийна ду Дала, аьлла: царах цхьаъ ца дахь, цуьнца хоттаделларг а къобалдеш дац.Уьш ду: ламаз а, закат а; Далла муьт1ахь хилар а, элчанна муьт1ахь хилар а; Далла шукур дар а, дена-нанна шукур дар а. Ламаз деш вац, нагахь санна, шегахь долу даьхни закат лучу бараме кхаьчча, закат луш вацахь.  Далла муьт1ахь вац, нагахь санна элчанна муьт1ахь вацахь. Далла шукур деш вац, нагахь санна дена-нанна шукур деш вацахь.</p>"
