id,text,foot_notes
1,"In the name of God, the Lord of Mercy, the Giver of Mercy!",
2,"Praise belongs to God, Lord of the Worlds,",
3,"the Lord of Mercy, the Giver of Mercy,",
4,Master of the Day of Judgement.,
5,It is You we worship; it is You we ask for help.,
6,Guide us to the straight path:,
7,"the path of those You have blessed, those who incur no anger and who have not gone astray.",
8,Alif Lam Mim,
9,"This is the Scripture in which there is no doubt, containing guidance for those who are mindful of God,",
10,"who believe in the unseen,keep up the prayer, and give out of what We have provided for them;",
11,"those who believe in the revelation sent down to you [Muhammad], and in what was sent before you, those who have firm faith in the Hereafter.",
12,Such people are following their Lord’s guidance and it is they who will prosper.,
13,"As for those who disbelieve, it makes no difference whether you warn them or not: they will not believe.",
14,"God has sealed their hearts and their ears, and their eyes are covered. They will have great torment.",
15,"Some people say, ‘We believe in God and the Last Day,’ when really they do not believe.",
16,"They seek to deceive God and the believers but they only deceive themselves, though they do not realize it.",
17,"There is a disease in their hearts, to which God has added more: agonizing torment awaits them for their persistent lying.",
18,"When it is said to them, ‘Do not cause corruption in the land,’ they say, ‘We are only putting things right,’",
19,"but really they are causing corruption, though they do not realize it.",
20,"When it is said to them, ‘Believe, as the others believe,’ they say, ‘Should we believe as the fools do?’ but they are the fools, though they do not know it.",
21,"When they meet the believers, they say, ‘We believe,’ but when they are alone with their evil ones, they say, ‘We’re really with you; we were only mocking.’",
22,"God is mocking them, and allowing them more slack to wander blindly in their insolence.",
23,"They have bought error in exchange for guidance, so their trade reaps no profit, and they are not rightly guided.",
24,"They are like people who [labour to] kindle a fire: when it lights up everything around them, God takes away all their light, leaving them in utter darkness, unable to see-",
25,"deaf, dumb, and blind: they will never return.",
26,"Or [like people who, under] a cloudburst from the sky, with its darkness, thunder, and lightning, put their fingers into their ears to keep out the thunderclaps for fear of death- God surrounds the disbelievers.",
27,"The lightning almost snatches away their sight: whenever it flashes on them they walk on and when darkness falls around them they stand still. If God so willed, He could take away their hearing and sight: God has power over everything.",
28,"People, worship your Lord, who created you and those before you, so that you may be mindful [of Him]",
29,"who spread out the earth for you and built the sky; who sent water down from it and with that water produced things for your sustenance. Do not, knowing this, set up rivals to God.",
30,"If you have doubts about the revelation We have sent down to Our servant, then produce a single sura like it- enlist whatever supporters you have other than God- if you truly [think you can].",
31,"If you cannot do this- and you never will- then beware of the Fire prepared for the disbelievers, whose fuel is men and stones.",
32,"[Prophet], give those who believe and do good the news that they will have Gardens graced with flowing streams. Whenever they are given sustenance from the fruits of these Gardens, they will say, ‘We have been given this before,’ because they were provided with something like it. They will have pure spouses and there they will stay.",
33,"God does not shy from drawing comparisons even with something as small as a gnat, or larger: the believers know it is the truth from their Lord, but the disbelievers say, ‘What does God mean by such a comparison?’ Through it He makes many go astray and leads many to the right path. But it is only the rebels He makes go astray:",
34,"those who break their covenant with God after it has been confirmed, who sever the bonds that God has commanded to be joined, who spread corruption on the earth- these are the losers.",
35,"How can you ignore God when you were lifeless and He gave you life, when He will cause you to die, then resurrect you to be returned to Him?",
36,"It was He who created all that is on the earth for you, then turned to the sky and made the seven heavens; it is He who has knowledge of all things.",
37,"[Prophet], when your Lord told the angels, ‘I am putting a successor on earth,’ they said, ‘How can You put someone there who will cause damage and bloodshed, when we celebrate Your praise and proclaim Your holiness?’ but He said, ‘I know things you do not.’",
38,"He taught Adam all the names [of things], then He showed them to the angels and said, ‘Tell me the names of these if you truly [think you can].’",
39,"They said, ‘May You be glorified! We have knowledge only of what You have taught us. You are the All Knowing and All Wise.’",
40,"Then He said, ‘Adam, tell them the names of these.’ When he told them their names, God said, ‘Did I not tell you that I know what is hidden in the heavens and the earth, and that I know what you reveal and what you conceal?’",
41,"When We told the angels, ‘Bow down before Adam,’ they all bowed. But not Iblis, who refused and was arrogant: he was one of the disobedient.",
42,"We said, ‘Adam, live with your wife in this garden. Both of you eat freely there as you will, but do not go near this tree, or you will both become wrongdoers.’",
43,"But Satan made them slip, and removed them from the state they were in. We said, ‘Get out, all of you! You are each other’s enemy. On earth you will have a place to stay and livelihood for a time.’",
44,"Then Adam received some words from his Lord and He accepted his repentance: He is the Ever Relenting, the Most Merciful.",
45,"We said, ‘Get out, all of you! But when guidance comes from Me, as it certainly will, there will be no fear for those who follow My guidance nor will they grieve-",
46,"those who disbelieve and deny Our messages shall be the inhabitants of the Fire, and there they will remain.’",
47,"Children of Israel, remember how I blessed you. Honour your pledge to Me and I will honour My pledge to you: I am the One you should fear.",
48,"Believe in the message I have sent down confirming what you already possess. Do not be the first to disbelieve in it, and do not sell My messages for a small price: I am the One of whom you should be mindful.",
49,"Do not mix truth with falsehood, or hide the truth when you know it.",
50,"Keep up the prayer, pay the prescribed alms, and bow your heads [in worship] with those who bow theirs.",
51,"How can you tell people to do what is right and forget to do it yourselves, even though you recite the Scripture? Have you no sense?",
52,"Seek help with steadfastness and prayer- though this is hard indeed for anyone but the humble,",
53,who know that they will meet their Lord and that it is to Him they will return.,
54,"Children of Israel, remember how I blessed you and favoured you over other people.",
55,"Guard yourselves against a Day when no soul will stand in place of another, no intercession will be accepted for it, nor any ransom; nor will they be helped.",
56,"Remember when We saved you from Pharaoh’s people, who subjected you to terrible torment, slaughtering your sons and sparing only your women- this was a great trial from your Lord-",
57,"and when We parted the sea for you, so saving you and drowning Pharaoh’s people right before your eyes.",
58,"We appointed forty nights for Moses [on Mount Sinai] and then, while he was away, you took to worshipping the calf- a terrible wrong.",
59,"Even then We forgave you, so that you might be thankful.",
60,"Remember when We gave Moses the Scripture, and the means to distinguish [right and wrong], so that you might be guided.",
61,"Moses said to his people, ‘My people, you have wronged yourselves by worshipping the calf, so repent to your Maker and kill [the guilty among] you. That is the best you can do in the eyes of your Maker.’ He accepted your repentance: He is the Ever Relenting and the Most Merciful.",
62,"Remember when you said, ‘Moses, we will not believe you until we see God face to face.’ At that, thunderbolts struck you as you looked on.",
63,"Then We revived you after your death, so that you might be thankful.",
