id,text,foot_notes
1,"With the name of Allah, the All-Merciful, the Very-Merciful.",
2,"Praise belongs to Allah, the Lord of all the worlds.",
3,"the All-Merciful, the Very Merciful.",
4,the Master of the Day of Requital.,
5,"You alone do we worship, and from You alone do we seek help.",
6,Take us on the straight path.,
7,"the path of those on whom You have bestowed Your Grace, not of those who have incurred Your wrath, nor of those who have gone astray.",
8,Alif. Lām. Mīm.,
9,"This Book has no doubt in it - a guidance for the God-fearing,",
10,"who believe in the Unseen, and are steadfast in Salāh (prayer), and spend out of what We have provided them;",
11,and who believe in what has been revealed to you and what has been revealed before you; and they have faith in the Hereafter.,
12,It is these who are guided by their Lord; and it is just these who are successful.,
13,"Surely for those who have disbelieved, it is all the same whether you warn them or you warn them not: they do not believe.",
14,"Allah has set a seal on their hearts and on their hearing; and on their eyes there is a covering, and for them awaits a mighty punishment.",
15,"And among men there are some who say, “We believe in Allah and in the Last Day”, yet they are not believers.",
16,"They try to deceive Allah and those who believe, while they are not deceiving anyone except themselves, although they are unaware of it.",
17,"In their hearts there is a malady, so Allah has made them grow in their malady; and for them there is a grievous punishment, because they have been lying.",
18,"When it is said to them, “Do not spread disorder on the earth”, they say, “We are but reformers.”",
19,"Beware, it is, in fact, they who spread disorder, but they do not appreciate.",
20,"And when it is said to them, “Believe as people have believed,” they say, “Shall we believe as the fools have believed?” Beware, it is, in fact, they who are the fools, but they do not know.",
21,"When they meet those who believe, they say, “We have entered Faith;” but when they are alone with their satans, they say, “Indeed, we are with you; we were only mocking.”",
22,"It is Allah who mocks at them, and lets them go on wandering blindly in their rebellion.",
23,"These are the people who have bought error at the price of guidance; so their trade has brought no gain, nor have they reached the right Path.",
24,"Their situation is like that of a man who kindles a fire, and when it illuminates everything around him, Allah takes away their lights and leaves them in layers of darkness, so that they see nothing.",
25,"Deaf, dumb and blind, they shall not return.",
26,"Or (it is) like a rainstorm from the sky, bringing darkness, thunder and lightning; they thrust their fingers in their ears against the thunderclaps for fear of death, -and Allah encompasses the disbelievers.",
27,"and lightning (all but) snatches away their eyesight; every time a flash gives them light, they walk by it; and when darkness falls upon them, they stand still. And if Allah willed, He would certainly take away their hearing and their eyes: surely Allah is powerful to do anything.",
28,"O people, worship your Lord who created you and those before you, so that you may become God-fearing.",
29,"He is the One who made the earth a bed for you, and the sky a roof, and sent down water from the sky, then brought forth with it fruits, as a provision for you. So, do not set up parallels to Allah when you know.",
30,"If you are in doubt about what We have revealed to Our servant, then bring a Sūrah similar to this, and do call your supporters other than Allah, if you are true.",
31,"But if you do not - and you will never be able to - then guard yourselves against the Fire, the fuel of which will be men and stones. It has been prepared for disbelievers.",
32,"And give good news to those who believe and do righteous deeds that for them there are gardens beneath which rivers flow. Every time they are given a fruit from there to eat, they will say, “This is what we have been given before”; and they will be given (fruits) resembling one another. And for them there shall be wives purified; and there they will live forever.",
33,"Indeed, Allah does not feel shy in citing any parable, be it that of a gnat or of something above it (in meanness). Now, as for those who believe, they know it is the truth from their Lord; while those who disbelieve say, “What could Allah have meant by this parable?” By this He lets many go astray, and by this He makes many find guidance. But He does not let anyone go astray thereby except those who are sinful",
34,"- those who break the Covenant of Allah after it has been made binding, and cut off the relations Allah has commanded to be joined, and spread disorder on the earth - it is these who are the losers.",
35,"“How is it that you deny Allah, while you were lifeless and He gave you life; then He will make you die, and then He will make you live again, and then to Him you will be returned?",
36,It is He who created for you all that the earth contains; then He turned to the heavens and made them seven skies - and He is the knower of all things.,
37,"(Remember) when your Lord said to the angels, “I am going to create a deputy on the earth!” They said, “Will You create there one who will spread disorder on the earth and cause bloodshed, while we proclaim Your purity, along with your praise, and sanctify Your name?” He said, “Certainly, I know what you know not.”",
38,"And He taught ’Ādam the names, all of them; then presented them before the angels, and said, “Tell me their names, if you are right.”",
39,"They said, “To You belongs all purity! We have no knowledge except what You have given us. Surely, You alone are the All-knowing, All-wise.”",
40,"He said, “O ’Ādam, tell them the names of all these.” When he told them their names, Allah said, “Did I not tell you that I know the secrets of the skies and of the earth, and that I know what you disclose and what you conceal.",
41,"And when We said to the angels: “Prostrate yourselves before ’Ādam!” So, they prostrated themselves, all but Iblīs (Satan). He refused, and became one of the infidels.",
42,"And We said, “O ’Ādam, dwell, you and your wife, in Paradise; and eat at pleasure wherever you like, but do not go near this tree, otherwise you will be (counted) among the transgressors.”",
43,"Then, Satan caused them to slip from it, and brought them out of where they had been. And We said, “Go down, all of you, some of you the enemies of others; and on the earth there will be for you a dwelling place and enjoyment for a time.”",
44,"Then ’Ādam learned certain words (to pray with) from his Lord; so, Allah accepted his repentance. No doubt, He is the Most-Relenting, the Very-Merciful.",
45,"We said, “Go down from here, all of you. Then, should some guidance come to you from Me, those who follow My guidance shall have no fear, nor shall they grieve.",
