id,text,foot_notes
1,Bismi Allahi arrahmani arraheem,
2,Alhamdu lillahi rabbi alAAalameen,
3,Arrahmani arraheem,
4,Maliki yawmi addeen,
5,Iyyaka naAAbudu wa-iyyaka nastaAAeen,
6,Ihdina assirata almustaqeem,
7,Sirata allatheena anAAamta AAalayhim ghayri almaghdoobi AAalayhim wala addalleen,
8,Alif-lam-meem,
9,Thalika alkitabu larayba feehi hudan lilmuttaqeen,
10,Allatheena yu/minoona bilghaybiwayuqeemoona assalata wamimma razaqnahumyunfiqoon,
11,Wallatheena yu/minoona bimaonzila ilayka wama onzila min qablika wabil-akhiratihum yooqinoon,
12,Ola-ika AAala hudan minrabbihim waola-ika humu almuflihoon,
13,Inna allatheena kafaroo sawaonAAalayhim aanthartahum am lam tunthirhum layu/minoon,
14,Khatama Allahu AAala quloobihimwaAAala samAAihim waAAala absarihim ghishawatunwalahum AAathabun AAatheem,
15,Wamina annasi man yaqoolu amannabiAllahi wabilyawmi al-akhiri wamahum bimu/mineen,
16,YukhadiAAoona Allaha wallatheenaamanoo wama yakhdaAAoona illa anfusahum wamayashAAuroon,
17,Fee quloobihim maradun fazadahumuAllahu maradan walahum AAathabun aleemun bimakanoo yakthiboon,
18,Wa-itha qeela lahum latufsidoo fee al-ardi qaloo innama nahnumuslihoon,
19,Ala innahum humu almufsidoona walakinla yashAAuroon,
20,Wa-itha qeela lahum aminoo kamaamana annasu qaloo anu/minu kamaamana assufahao ala innahum humu assufahaowalakin la yaAAlamoon,
21,Wa-itha laqoo allatheena amanooqaloo amanna wa-itha khalaw ilashayateenihim qaloo inna maAAakum innamanahnu mustahzi-oon,
22,Allahu yastahzi-o bihim wayamudduhumfee tughyanihim yaAAmahoon,
23,Ola-ika allatheena ishtarawooaddalalata bilhuda famarabihat tijaratuhum wama kanoomuhtadeen,
24,Mathaluhum kamathali allatheeistawqada naran falamma adaat ma hawlahuthahaba Allahu binoorihim watarakahum fee thulumatinla yubsiroon,
25,Summun bukmun AAumyun fahum layarjiAAoon,
26,Aw kasayyibin mina assama-ifeehi thulumatun waraAAdun wabarqunyajAAaloona asabiAAahum fee athanihim mina assawaAAiqihathara almawti wallahu muheetunbilkafireen,
27,Yakadu albarqu yakhtafu absarahumkullama adaa lahum mashaw feehi wa-itha athlamaAAalayhim qamoo walaw shaa Allahu lathahababisamAAihim waabsarihim inna Allaha AAalakulli shay-in qadeer,
28,Ya ayyuha annasuoAAbudoo rabbakumu allathee khalaqakum wallatheenamin qablikum laAAallakum tattaqoon,
29,Allathee jaAAala lakumu al-ardafirashan wassamaa binaan waanzalamina assama-i maan faakhraja bihi mina aththamaratirizqan lakum fala tajAAaloo lillahi andadanwaantum taAAlamoon,
30,Wa-in kuntum fee raybin mimma nazzalnaAAala AAabdina fa/too bisooratin min mithlihi wadAAooshuhadaakum min dooni Allahi in kuntum sadiqeen,
31,Fa-in lam tafAAaloo walan tafAAaloo fattaqooannara allatee waqooduha annasuwalhijaratu oAAiddat lilkafireen,
32,Wabashshiri allatheena amanoowaAAamiloo assalihati anna lahum jannatintajree min tahtiha al-anharu kullamaruziqoo minha min thamaratin rizqan qaloo hathaallathee ruziqna min qablu waotoo bihi mutashabihanwalahum feeha azwajun mutahharatun wahumfeeha khalidoon,
33,Inna Allaha la yastahyeean yadriba mathalan ma baAAoodatan famafawqaha faamma allatheena amanoofayaAAlamoona annahu alhaqqu min rabbihim waammaallatheena kafaroo fayaqooloona matha aradaAllahu bihatha mathalan yudillu bihikatheeran wayahdee bihi katheeran wama yudillu bihiilla alfasiqeen,
34,Allatheena yanqudoona AAahdaAllahi min baAAdi meethaqihi wayaqtaAAoona maamara Allahu bihi an yoosala wayufsidoona fee al-ardiola-ika humu alkhasiroon,
35,Kayfa takfuroona billahiwakuntum amwatan faahyakum thumma yumeetukumthumma yuhyeekum thumma ilayhi turjaAAoon,
36,Huwa allathee khalaqa lakum mafee al-ardi jameeAAan thumma istawa ila assama-ifasawwahunna sabAAa samawatin wahuwa bikullishay-in AAaleem,
37,Wa-ith qala rabbuka lilmala-ikatiinnee jaAAilun fee al-ardi khaleefatan qalooatajAAalu feeha man yufsidu feeha wayasfiku addimaawanahnu nusabbihu bihamdika wanuqaddisu lakaqala innee aAAlamu ma la taAAlamoon,
38,WaAAallama adama al-asmaakullaha thumma AAaradahum AAala almala-ikatifaqala anbi-oonee bi-asma-i haola-iin kuntum sadiqeen,
39,Qaloo subhanaka laAAilma lana illa ma AAallamtanainnaka anta alAAaleemu alhakeem,
