id,text,foot_notes
1,"﻿Aloitan JUMALAN, laupiaan Armahtajan, nimeen.",
2,"Ylistys Jumalalle, maailmojen Valtiaalle,",
3,"armolahjojen Antajalle, laupiaalle Ohjaajalle ja Siunaajalle,",
4,jonka hallussa yksin on Tilinteon päivä.,
5,"Sinua ainoata palvelemme, Sinua huudamme avuksi.",
6,"Ohjaa meidät oikeata tietä,",
7,"niiden tietä, joiden osana on Sinun mielisuosiosi ei niiden tietä, jotka ovat Sinun vihasi alaisia, eikä niiden,jotka harhaan eksyvät.",
8,"Alif. Laam. Miim. Tämä Pyhä kirja, siitä ei ole epäilystäkään on",
9,"opastus jumalaapelkääväisille ja pahaa karttaville ,",
10,"niille, jotka uskovat siihen, mikä ei näy, elävät rukoillen ja tuovat uhria siitä, mitä Me olemme heille suoneet,",
11,"niille, jotka uskovat siihen, mikä on ylhäältä ilmoitettu sinulle (Muhammed), sekä siihen, mikä on ilmoitettu ennen sinua, ja jotka varmassa luottamuksessa odottavat tulevaista elämää.",
12,Nämä elävät Herransa johdatuksessa; nämä ovat onnellisia.,
13,"Jumalattomille taasen on totisesti samantekevää, varoitatko heitä vai et; he eivät usko.",
14,"Jumala on sinetillä sulkenut heidän sydämensä ja korvansa, ja heidän silmiään peittää verho; niin, heitä kohtaa kammottava rangaistus.",
15,"Muutamat ihmiset sanovat kyllä: »Me uskomme Jumalaan ja Viimeiseen päivään», eivätkä kuitenkaan usko.",
16,"He tahtovat pettää Jumalaa ja niitä, jotka uskovat, mutta he eivät petä ketään muita kuin itsensä, eivätkä käsitä sitä.",
17,"Sairaus turmelee heidän sydämensä, ja Jumala pahentaa heidän sairautensa; niin, heitä odottaa tuskallinen rangaistus, koska he ovat valehdelleet.",
18,"Kun heille sanotaan: »Alkää aiheuttako pahennusta maan päällä», he vastaavat: »Mehän vain uudistamme asiat oikeiksi.»",
19,"ivätkö juuri sellaiset tosiaan ole niitä, joista paha paisuu? Mutta he eivät sitä tajua.",
20,"Ja kun heille sanotaan: »Uskokaa kuten nuo ihmiset uskovat», he vastaavat: »Onko meidän uskottava kuten hullut uskovat?» Mutta eivätkö todellisuudessa juuri he itse ole hulluja? Vaan sitäkään he eivät älyä.",
21,"Kohdatessaan uskovaisia he sanovat: »Me uskomme», mutta kun he erkanevat taas saatanainsa pariin, he selittävät: »Tietysti olemme teikäläisiä, me vain teimme pilkkaa.»",
