id,text,foot_notes
1,"בשם אללה הרחמן הרחום,",
2,"השבח לאללה, ריבון העולמים,",
3,"הרחמן, הרחום,",
4,"המולך ביום הדין,",
5,"(רק) אותך אנחנו עובדים, (ורק) עליך אנחנו נשענים.",
6,"הדרך אותנו לדרך הישר,",
7,"דרכם של אלה אשר הנחת עליהם את חסדך, לא דרכם של אלה שנפל הזעם עליהם, ולא (דרך) התועים.",
8,אלף.לאם.מים.,
9,"זה הספר, אשר אין בו ספק (שהוא מאללה), והוא מדריך לאלה היראים את אללה.",
10,"אלה אשר מאמינים בנסתר, ומקיימים את התפילה, וממה שפרנסנו אותם הם חולקים (לצדקה).",
11,"אלה אשר מאמינים במה שהורד אליך (הנביא מוחמד), ובמה שהורד (לנביאים אשר באו) לפניך, ובקיומו של העולם הבא הם בטוחים.",
12,"אלה המודרכים לדרך (האמונה) מריבונם, ואלה הם המצליחים.",
13,"אכן, אלה אשר כפרו, עבורם זה אינו משנה אם תזהיר אותם ואם לא תזהיר אותם, לא יאמינו.",
14,"חתם אללה את לבבותיהם ואת שמיעתם, ואת ראייתם כיסה, ולהם עונש אדיר.",
15,"ומהאנשים יש האומרים, אנו מאמינים באללה וביום האחרון (יום הדין), והם אינם מאמינים.",
16,"(חושבים שהם) מרמים את אללה ואת אלה אשר האמינו, ואולם, את עצמם הם מרמים, בלי שהם מרגישים בזה.",
17,"בלבבותיהם מחלה, ואללה יוסיף להם עוד מחלה, ולהם עונש כואב מפני שהם היו משקרים.",
18,"וכשמישהו אומר להם, אל תשחיתו בארץ! הם עונים, אנו רק מתקנים.",
19,"אך, אלה הם המשחיתים, אך אינם מרגישים.",
20,"וכשמישהו אומר להם, האמינו כשם שהאמינו האנשים, הם עונים, הנאמין כפי שהאמינו האספסוף? אלא שהם בעצמם האספסוף, אך, אינם יודעים.",
21,"וכאשר פוגשים את אלה אשר האמינו, הם אומרים להם, מאמינים אנו. אך, בהתייחדם עם שטניהם, יאמרו, עמכם אנו, אך, אנו בהם מהתלים.",
22,"אללה מהתל בהם, מאריך את תקופת שחיתותם ומעוור אותם.",
23,"אלה הם אשר רכשו את התעיה במקום היושר, עסקתם לא הביאה להם כל רווח, ולא היו מודרכים.",
24,"משלם כמשלו של האיש שהדליק אש, וכשהאש האירה על סביבותיו, נטל אללה את אורם והשאירם באפילה ואינם רואים.",
25,"(הם) חירשים, ואילמים, ועיוורים, לכן, אינם יכולים לחזור (לאמונה שנטשו).",
26,"או כמו עננה כבדה, מלאה אפילה, רעם וברק, והם אוטמים את אוזניהם באצבעותיהם מפחד רעש הרעם והמוות. אללה מאגף את הכופרים.",
27,"כמעט והברק מעוור אותם, וכאשר יאיר להם, ילכו באורו, וברדת החשיכה עליהם, יעמדו מלכת. לו רצה אללה, היה נוטל מהם את שמיעתם ואת ראייתם, אכן, אללה הכול-יכול",
28,"הוי, האנשים! עיבדו את ריבונכם אשר ברא אתכם ואת אלה אשר ברא לפניכם, אולי תיראו (את אללה).",
29,"הוא (אללה) אשר פרש לכם את הארץ, ובנה את השמים (כתקרה), והוריד מן השמים מים אשר בהם הצמיח כל מיני פירות כפרנסה לכם, לכן, אל תעשו שווים לאללה ביודעין.",
30,"אולם אם יש בכם ספק באשר (הקוראן) הורדנו על עבדנו (הנביא מוחמד), הביאו ולו טורה אחת דומה לו וקראו לעדיכם מלבד אללה, אם באמת אתם צודקים.",
31,"ואם לא תעשו כן - ולעולם לא תוכלו לעשות-הישמרו לכם מפני אש אשר חומר בערתה, האנשים והאבנים, הוכנה לכופרים.",
32,"ובשר לאלה אשר האמינו ועושים את הטובות כי (ביום הדין) מיועדים להם גנים אשר נהרות זורמים מתחתיהם, כל זמן שתוגש להם ברכה מפרי הגן, יגידו: “הלא זה מה שהוגש לנו מלפנים?” ויוגשו להם סוגים אחרים של פירות דומים, ויש להם שם זוגות טהורים, ויישארו שם לנצח.",
33,"אכן, אללה אינו מתבייש להביא משל כלשהו, יתוש או מה שמעליו. אמנם אלה אשר האמינו, הם יודעים כי הוא הצדק מריבונם. אך, אלה אשר כפרו אומרים: “מה רצה אללה במשל זה?” בזאת יתעה רבים, ומדריך בזאת רבים. ואינו מתעה אלא את המושחתים.",
34,"אשר מפירים את הברית (שכרתו) עם אללה לאחר שנחתמה כברית ומנתקים כל קשר אשר ציווה אללה לחזק, ומרבים שחיתות בארץ. אלה הם המפסידים(ביום הדין).",
35,"איך תכחישו את (קיום) אללה? האם לא הייתם מתים והוא החייה אתכם? ואחר כך ימיתכם, ושוב יחיה אתכם, ואליו תושבו (ביום הדין).",
36,"הוא אשר ברא לכם את כל מה שבארץ כולה, ואחר-כך עלה אל השמים ועשה אותם לשבעה רקיעים. והוא יודע בכל דבר.",
37,"וכשאמר ריבונך למלאכים, “הנני עומד לשים מחליף בארץ”. הם אמרו: “התשים בה את אשר ימלא אותה חורבן, וישפוך דמים, בזמן שאנו משבחים אותך ומהללים ומקדשים אותך?” אמר: “יודע אני את מה שאינכם יודעים”.",
38,"ולימד (אללה) את אדם את השמות של כל הבריות, ואחר-כך הציגם לפני המלאכים, ואמר להם “הודיעוני את שמותיהם אם אתם צודקים”.",
39,"אמרו: “ישתבח שמך! אין אנו יודעים דבר מלבד אשר לימדתנו, הן, אתה היודע החכם”.",
40,"(אללה) אמר: “הוי, אדם! הודע להם את שמותיהם”. וכאשר הודיע (אדם) להם את שמותיהם, (אללה) אמר: ""האם לא אמרתי לכם, כי יודע אני את נסתרות השמים והארץ, ויודע אני את אשר תגלו ותסתירו”.",
41,"וכאשר אמרנו למלאכים: “סגדו לאדם!” והם סגדו, מלבד איבליס (השטן) שסירב והתנשא והיה מן הכופרים.",
42,"ואמרנו: “הוי, אדם! שכון אתה וזוגתך בגן העדן, ואיכלו מכירותיו, וחיו חיי נועם ורווחה, אך, אל תתקרבו אל העץ הזה, פן תקפהו את עצמכם.",
43,"אז, השטן התעה את שניהם וגרם להוצאתם מכל אשר היו בו. ואמרנו: “רדו (מגן עדן) זה לזה (תהיו) אויבים, ויהיו לכם בארץ משכן וחיים עד זמן מוגדר.",
44,"וקיבל אדם מילים מריבונו, וסלח לו, והוא (אללה) הסלחן והרחום.",
45,"אמרנו (צווינו): ""רדו ממנו כולכם (גן העדן), ואולם אם אתם מקבלים ממני הדרכה אל הדרך הישרה, הן, כל ההולך בדרכי הישרה, לא יידע מורא ולא יצטער.",
46,"ואלה אשר כפרו ומכחישים את אותותינו (משפטי הקוראן), אנשי האש הם, ולעולם יהיו בה.",
47,"הוי, בני ישראל! זכרו את החסד שהענקתי לכם, וקיימו את בריתי למען אקים אני את בריתי אתכם, ורק אותי היו יראים.",
48,"והאמינו באשר הורדתי (הקוראן), אשר מאשר את מה שעמכם (מהתורה), ואל תהיו ראשוני הכופרים בו, ואל תמכרו את אותותיי (משפטי הקוראן) במחיר זעום, ויראו אותי.",
49,"ואל תערבבו את הצדק בהבל, ואל תעלימו את הצדק ביודעין.",
50,"וקיימו את התפילה, ותנו את הזכאת (צדקת חובה), וכרעו עם הכורעים.",
51,"התצוו על בני-האדם לעשות מעשים טובים, ואתם עצמכם שכחתם, אף כי אתם תקראו בספר (התורה)? האם לא תשכילו?",
52,"תאזרו בסבלנות ובתפילה (עד כל רעה), אומנם קשה הדבר (הקמת התפילה), אך, לא ליראים (את אללה).",
53,אלה אשר חושבים (בטוחים) כי ייפגשו עם ריבונם ואליו ישובו.,
54,"הוי, בני-ישראל! זכרו את החסד שהענקתי לכם, ושאז העדפתי אתכם על העולמים.",
55,"הישמרו מפני היום אשר בו לא תפדה נפש אף נפש אחרת ולא תתקבל השתדלותה, ולא יתקבל ממנה צדק, ולא תינתן להם עזרה.",
56,"וכשחילצנו אתכם מאנשי פרעה אשר עינו אתכם עינוי נורא, ושחטו את בניכם והחיו את נשותיכם. ובזאת מבחן אדיר מריבונכם",
57,וכשקרענו את הים לפניכם וחילצנו אתכם והטבענו את אנשי פרעה לעד עיניכם.,
58,"וכשנועדנו עם משה ארבעים לילות, אז לקחתם את העגל לאחר מכן (כאלוה), והייתם מקפחים.",
59,"אך, אנו סלחנו לכם כדי שאולי תכירו טובה.",
60,ונתנו למשה את הספר ואת הפורקאן שמא תהיו מודרכים.,
61,"וכשמשה אמר לבני עמו: ”הוי, בני עמי! אתם קיפחתם את עצמכם בעשותכם את העגל, לכן, הביעו חרטה בפני בוראכם, והרגו את עצמכם, וזה טוב  יותר לכם אצל בוראכם, ויקבל את תשובתכם, כי הוא מקבל את החוזרים אליו והוא הרחום.",
62,"וכאשר אמרתם: ""הוי משה! לא נאמין לך עד אשר נראה את אללה גלוי לעינינו”, אז הכתה בכם אש (מן השמים) בעודכם מביסים.",
