id,text,foot_notes
1,"In nome di Allah, il Compassionevole, il Misericordioso <a class=f><sup>1</sup></a>.","<p>Questa formula si chiama Basmala e si trova all’inizio di tutte le sure del Corano eccetto la sura IX. Essa ha una funzione sacralizzante e, al contempo, costituisce un’invocazione ad Allah (gloria a Lui l’Altissimo) affinché accetti l’azione che segue.</p>"
2,"La lode [appartiene] ad Allah <a class=f><sup>1</sup></a>, Signore dei mondi <a class=f><sup>2</sup></a>,","<p>«La lode [appartiene] ad Allah»: disse l’Inviato di Allah (pace e benedizioni su di lui): «Non c’è niente che Allah ami più che la lode a Lui, per questo Si è lodato da Se Stesso dicendo “al-hamdu li-Llâh”». La formula di cui Si serve Allah (gloria a Lui l’Altissimo) significa «tutte le lodi appartengono ad Allah», Egli è l’Unico degno di essere lodato.</p> | <p>«Signore dei mondi.» Il plurale cui si applica la Signoria divina ha dato impulso a molte interpretazioni. Secondo Ibn ‘Abbâs si tratta del mondo dei jinn e di quello degli uomini. Altri parlano di mondi angelici e mondi terreni, altri ancora ne traggono spunto per ipotizzare l’esistenza di altri mondi abitati al di là delle nostre attuali conoscenze.</p>"
3,"il Compassionevole, il Misericordioso,",
4,Re del Giorno del Giudizio <a class=f><sup>1</sup></a>.,"<p>«Re del Giorno del Giudizio»: il Giudizio finale di tutti gli uomini, successivo alla loro resurrezione, è uno dei fondamenti della dottrina islamica. In quel Giorno ognuno sarà retribuito per la sua vita terrena (altra traduzione: il Giorno della Retribuzione).</p>"
5,Te noi adoriamo e a Te chiediamo aiuto <a class=f><sup>1</sup></a>.,"<p>«Te noi adoriamo e a Te chiediamo aiuto»: l’adorazione spetta ad Allah (gloria a Lui l’Altissimo) e solo a Lui, e alla stessa maniera la richiesta di aiuto deve essere rivolta a Lui solo.</p>"
6,"Guidaci sulla retta via <a class=f><sup>1</sup></a>,","<p>«Guidaci sulla retta via»: dopo la lode, il riconoscimento della Sua Signoria sui mondi e sul Giudizio e la dichiarazione di massima sudditanza che si concretizza nell’adorazione e nella rinuncia a qualsiasi altro patrono che Allah Stesso, l’uomo chiede al Suo Signore (gloria a Lui l’Altissimo) che gli conceda una guida sulla retta via, un sistema dottrinario, spirituale e legale che lo conduca attraverso questa prova terrena fino al premio dell’Altra Vita.</p>"
7,"la via di coloro che hai colmato di grazia <a class=f><sup>1</sup></a>, non di coloro che [sono incorsi] nella [Tua] ira <a class=f><sup>2</sup></a>, né degli sviati <a class=f><sup>3</sup></a>. Nella recitazione liturgica si aggiunge: «Amin».","<p>In questo ultimo versetto è contenuta l’affermazione che già prima della rivelazione del Corano la misericordia dell’Altissimo era operante tra gli uomini, producendo comportamenti fortemente illuminati dalla fede e guidati dal timor di Allah (gloria a Lui l’Altissimo). Secondo un commento di Ibn ‘Abbâs (che Allah sia soddisfatto di lui) «coloro che hai colmato dei Tuoi doni» sono i Sinceri (siddiqùn), quelli che hanno avuto il martirio testimoniando la fede (shuhadâ) i Devoti (salîhûn).</p> | <p>«quelli che [sono incorsi] nella [Tua] ira»: tutta l’esegesi classica, ricollegandosi fedelmente alla tradizione afferma che con questa espressione Allah (gloria a Lui l’Altissimo) indica gli ebrei («Yahûd»).</p> | <p>«gli sviati»: sulla base di alcuni ahadith autentici dell’Inviato di Allah (pace e benedizioni su di lui), l’esegesi classica ritiene che costoro siano da identificare nei cristiani che accettando il dogma trinitario si sono allontanati dalla purezza monoteistica.</p>"
8,"Alif, Lâm, Mìm  <a class=f><sup>1</sup></a> .",<p>Vedi Appendice 1.</p>
9,"Questo è il Libro su cui non ci sono dubbi, una guida per i timorati  <a class=f><sup>1</sup></a> ,","<p>«i timorati»: con questa allocuzione abbiamo tradotto il termine «muttaqùn». La «taqwà», che è appunto quello che provano i muttaqùn, è il timore reverenziale di Allah (gloria a Lui l’Altissimo). Qualcosa che non ha nulla a che fare con la paura, che è molto più grande ma che non diventa mai terrore. Il musulmano piange per timor di Allah, ma è piuttosto la dolcezza e non l’ansia quella che scioglie il suo cuore, scuote il petto nei singhiozzi e fa colare le lacrime.</p>"
10,"coloro che credono nell’invisibile, assolvono all’orazione  <a class=f><sup>1</sup></a> e donano  <a class=f><sup>2</sup></a> di ciò di cui Noi li abbiamo provvisti,","<p>«assolvono all’orazione»: vedi Appendice 2.</p> | <p>«e donano…» lett. spendono (caritatevolmente). Si tratta di elemosina volontaria; per quella obbligatoria, «zakât», vedi Appendice 3.</p>"
