id,text,foot_notes
1,"Аса қамқор, ерекше мейірімді Алланың атымен бастаймын.",
2,Барлық мақтау бүкіл әлемнің Раббы Аллаға тән.,
3,"аса Қамқор, ерекше  Мейірімді.",
4,Қиямет күнінің иесі.,
5,"(Әй Алла!) Саған ғана құлшыдық қыламыз, әрі Сенен ғана жәрдем тілейміз!",
6,Бізді тура жолға сала көр!,
7,Нығметке бөленгендеріңнің жолына! Ашуға ұшырағандардың және адасқандардың жолына емес!,
8,«Әліф Лам Мим»,
9,"Міне осы Кітапта күдік жоқ, тақуалар үшін тура жол көрсетуші.",
10,"Сондай олар көмеске иман келтіреді, намазды толық орындадйы, өздеріне берген несібемізден (Алла жолында) Пайдаландырады.",
11,(Мұхаммед Ғ.С.) олар саған түсірілгенге әрі сенен бұрыңғы түсірілгенге сенеді және ахиретке анық нанады.,
12,Міне солар Раббылары тарапынан тура жолда және солар құтылушылар.,
13,"(Мұхаммед Ғ.С.) расында қарсы болғандарды, үгіттесең де үгіттемесең де бәрі бірдей. Олар иман келтірмейді",
14,"Алла олардың жүректерін, құлақтарын бітеген, әрі көздерінде перде бар. Сондай-ақ олар үшін зор қинау бар.",
15,"Адамдардың кейбіреулері, екі жүзді (мұнафықтар): «Аллаға, ахирет күніне сендік» дейді. Бірақ олар сенбейді.",
16,Олар (өздерінше) алланы және иман келтіргендерді алдайды. Бірақ олар өздерін ғана алдағандарын сезбейді.,
17,Олардың жүректерінде дерт бар. (Күншілдік дерті). Сонда Алла олардың дертін арттыра түсті. (Мұсылмандар дамыған сайын күншілдіктері қоза түсті). Сондай-ақ оларға өтірікшіліктерінің салдарынан күйзелтуші азап бар.,
18,"Оларға: «Жер жүзінде бұзақылық қылмандар!»,- делінсе, олар: «Біздер түзеуші ғанамыз» дейді.",
19,"Сақ болыңдвр! Шын мәнінде олардың өздері бұзақы, алайда олар түсінбейді.",
20,"Егер оларға: «Адамдар иман келтіргендей иман келтіріңдер!», - делінсе, олар: «Ақылсыздарша иман келтірейік пе?»,- дер. Байқандар! Шын мәнінде олардың өздері ақымақ. Бірақ олар білмейді.",
21,"Ал және олар мүміндерге кездессе: «Біз де иман келтірдік» дер. Әрқашан олар сайтандарымен (бастықтарымен) оңашалана қалса: «Расында біз сендермен біргеміз, біз оларды тәлкек қылып қана жүрміз» дер.",
22,"Алла оларды мазаққа ұшыратып, азғындықтарында қаңғыртып қояды.",
23,Олар қисық жолды туралықпен айырбастап алды. Сонда оларға аудалары пайда бермеді. Әм олар тура жолды таппады.,
24,"Олардың мысалы: (Далада) от жағып маңын жарық қылғанда, Алла олардың жарығын өшіріп, қараңғылықтарда қалдырған біреу сияқты, (бұл мысалда, екі жүзді мұнафықтар; жаққан оттары өшіп, тым- тырыс қараңғылықта қалғанға ұқсатылып отыр) олар көрмейді.",
25,"Саңырау, сақау және соқыр болып бетінен қайтпайды.",
26,"Немесе қараңғылықта күркіреп, жарқылдап көктен нөсерлете құйған жаңбырға ұшырап, нажағайдан өлем деп қорқып, саусақтарын құлақтарына тыққан біреулер тәрізді. Алла кәпірлерді толық баураушы",
27,"Олардың көздерін  найзағай жұлып әкете жаздайды. Оларға жарық берген сәтте, олар жарықта жүреді де оларға қараңғы болған заманда, олар тұра қалады. Егер Алла қаласа, олардың есту, көру сезімдерін де жойар еді. Алланың әр нәрсеге күші толық жетуші. (Бұл мысалда, Құран және ислам; көзді алардай жарқылдап, күркіреп құйған нөсерге, мұнафықтар; нажағайдан қорқып, саусақтарын құлақтарына тығып жарықта жүріп, қараңғыда тұрып тантырақтағанға теңеліп отыр.",
28,Әй Адам баласы! Сондай сендерді де сендерден бұрынғыларды да жаратқан Раббыларыңа құлшылық қылыңдар. Әрине сақтанған боларсыңдар.,
29,"Ол сондай Алла, сендерге жерді төсек, аспанды төбе етіп жаратты. әрі көктен жаңбыр жаудырып, сол арқылы сендер үшін әр түрлі өсімдіктен ризық шығарды. Сондықтан біле тұра Аллаға шерік қатпаңдар.",
30,"Егер құлымызға түсіргенімізден күдіктенсеңдер, онда сендер де со құсаған бір сүре келтіріңдер, Алладан өзге көмекшілеріңді де шақырыңдар, егер сөздерің рас болса.",
31,"Егер оны істемесеңдер (әзір келтірмесеңдер, келешекте) сірә істей алмайсыңдар. Ендеше, отыны; адамдар, тастардан болып кәпірлер үшін әзірленген оттан қорқыңдар!",
32,"(Мұғаммед Ғ.С.) иман келтіріп, ізгі іс істегеңдерді қуандыр! Расында олар үшін астарынан өзендер ағатын жәннеттер бар. Әрқашан оларға оның жемісінен бір ризық берілсе, олар: «Осы бізге бұрын да беріліп еді» дейді. Тағы оның ұқсасы келтіріледі. Әрі олар үшін онда тап- таза жұбайлар да бар. Олар онда мәңгі қалады.",
33,"Расында Алла шіркейді, одан да зорғыны мысал келтіруден ұялмайды. Ал мүміндер оның Раббыларынан нак хақиқат екендігін біледі. Ал енді қарсы болғандар: «Алла, бұл мысал менен нені қалайды?»,- дейді. Алла, ол мысал менен көптегенді адастырып, әрі онымен көптегенді оңғарады.",
34,"Олар (иман келтіріп) серт бергеннен кейін Алланың уәдесін бұзады да, Алланың жалғастырылуын бұйырған нәрсесін (жақындық, бірлікті) бөледі. Сондай-ақ жер жүзінде бұзақылық істейді. Міне солар зиянға ұшыраушылар.",
35,"Аллаға қалайша қарсы келесіңдер? Өлі едіңдер, сендерді тірілтті. Тағы өлтіреді. Соңыра қайта тірілтеді. Сонан соң (қияметте) Оның алдына қайтарыласыңдар.",
36,"Ол сондай Алла, жер жүзіндегі барлық нәрселерді сендер үшін жаратты. Сонан кейін аспанға көңіл бөліп оны жеті қабат көк етіп тәртіптеді. Ол әр нәрсені толық білуші.",
37,"(Мұғаммед Ғ.С.) сол уақытта Раббың періштелерге: «Әрине мен жерде бір орынбасар жаратамын!»,- деген еді. (Періштелер): «Онда бұзақылық істеп, қан төгетін біреу жаратасың ба? Негізінен біз Сені дәріптеп, мақтау мен пәктаудамыз» деді. Алла: «Мен сендердің білмегеңдеріңді жақсы білемін!»,- деді. (Алла, Адамды топырақтан жаратып оған жан салды.",
38,"Алла Адам (Ғ.С.) ға біртұтас атауларды үйретті де сонан соң оларды періштелерге көрсетіп: «айтқандарың рас болса, Маған осы нәрселердің аттарын айтып беріңдер» деді.",
39,"Періштелер: «Сен пәксің! Біздің, Сенің үйреткеніңнен басқа білеріміз жоқ. Әрине Сен толық білуші, өте данасың» деді.",
40,"(Алла Т): «Әй Адам! Оларға, бұлардың аттарын баян ет» деді. Сонда (Адам Ғ.С.) оларға ол заттардың аттарын айтқан сәтте, Алла: «Мен сендерге көктер мен жердің құпиясын, сендердің де көрнеу, көмес істегендеріңді білемін деп айтпадым ба?»,- деді.",
41,"Сол уақытта періштелерге: «Адамға сәжде қылыңдар» дедік. Сонда олар дереу сәжде қылды. Бірақ Ібіліс бас тартып, дандайсып қарсы келушілерден болды.",
42,"Және де: «Әй Адам! Сен де жұбайың да жәннәтте тұрыңдар, ерікті түрде қалағандарыңша жеңдер де, мына ағашқа жоламаңдар. Онда жазықтылардан боласыңдар» деген едік.",
43,"Сонда Шайтан, екеуін ол жерден тайдырды. Ондағы нығметтерден де шығарды. Оларға: «Бір - біріңе қас болып, түсіңдер: Сендер үшін жержүзінде тұрақ және бір мезгілге дейін пайдалану бар» дедік.",
44,"Сонда Адам (Ғ.С.) Раббынан сөздер үйреніп алды да жалбарынды. Раббы оның тәубесін қабылдады. Өйткені Ол тәубені өте қабылдаушы, ерекше мейірімді.",
45,"Жаннаттан бәрің түсіңдер, Менен сендерге бір туралық келсе, кім сонда тура жолыма ерсе, оларға қорқу жоқ әрі қайғырмайды» деген едік.",
46,"Қарсы келіп аяттарымызды өтірік дегендер, солар, тозақтық болып, олар мәңгі қалады.",
47,Әй Израил ұрпақтары! Берген ныметімді еске алыңдар! Уәдемді орындаңдар. Мен де серттеріңді орындаймын. Әрі Менен ғана қорқыңдар.,
48,Жандарыңдағы Тәуратты растаушы Мен түсірген Құранға сеніңдер. Сондай-ақ оған алғаш қарсы келушілерден болмаңдар. Және де аяттарымды аз ғана бағаға айырбастамаңдар (дүниелік үшін бұрмаламаңдар) да Менен ғана қорқыңдар.,
49,Хақиқатты бұзықтыққа аралаастырмаңдар да сондай-ақ біле тұра шындықты жасырмаңдар.,
50,"Әрі намазды  / барлық шарттарын сақтап, беріле /  толық орындаңдар, зекетті беріңдер және рукуғ етушілермен бірге рукуғ етіңдер.",
51,"Елді игілікке бұйырып, өздеріңді ұмытасыңдар ма? Кітапты оқисыңдар, ойламайсыңдар ма?….",
52,Сабыр және намазбен жәрдем тілеңдер. Расында намаз ынталылардан басқаларға ауыр келеді.,
53,"Ол ынталылар, Раббыларына шын жолығатындықтарын ойлап әрі Оған анық қайталыратындықтарын да біледі.",
54,"( Алла Израил ұрпақтарын бақытқа бөлеп, заманында әлемнен артық қылған. Пайғамбарлар көп келген. Бірақ Алланы көрмей: «Нанбаймыз» дегендер, пайғамбарды өлтіргендер, бұзауға шоқынып, тәуратты өзгерткен бұзықтары да болған. Әй Израил ұрпақтары! Сендерге берген нығметімді, әм әлемге артық еткенімді еске алыңдар.",
55,"Біреу үшін ешкім күймейтін, шапағат қабыл етілмейтін, ешкімнен бодау алынбайтын және оларға жәрдем де етілмейтін бір күннен сақтаңындар.",
