id,text,foot_notes
1,"Аса Қайырымды, ерекше Мейірімді Аллаһтың атымен",
2,"Барлық мақтау әлемдердің Раббысы - Аллаһқа,",
3,"аса Қайырымды, ерекше Мейірімдіге ,",
4,Есеп күнінің Билеушісіне!,
5,Саған ғана құлшылық жасаймыз әрі Сенен ғана жәрдем тілейміз!,
6,"Бізді тура жолмен жүргізе гөр,",
7,игілікке бөлегендеріңнің жолымен! Ашуға ұшырағандардың және адасқандардың жолымен емес!,
8,Әлиф Ләм Мим.,
9,"Міне осы Кітапта күдік жоқ, тақуалар үшін тура жол көрсетуші.",
10,"Олар ғайыпқа сенеді, намазды  толық орындайды әрі Біз өздеріне берген ризықтан бір бөлігін жұмсайды.",
11,"/ Ей, Мұхаммед! /  Олар саған түсірілгенге әрі сенен бұрын түсірілгенге сенеді және соңғы,   ақиретке  айқын сенеді.",
12,Міне солар Раббылары тарапынан тура жолда және солар құтылушылар.,
13,"(Мұхаммед Ғ.С.) расында қарсы болғандарды, үгіттесең де үгіттемесең де бәрі бірдей. Олар иман келтірмейді.",
14,"Аллаһ олардың жүректері мен естулерін мөрлеген және олардың көрулеріне - перде қойған. Сондай-ақ, оларға өте үлкен азап бар.",
15,"Әрі адамдардың кейбірі: «Аллаһқа және Ақирет күніне сендік», - деп айтады. Бірақ олар иманды адам емес.",
16,Олар Аллаһты және иманға келгендерді алдамақшы болады. Бірақ олар өздерін ғана алдайды әрі оны сезбейді.,
17,Олардың жүректерінде дерт бар. Аллаһ олардың дертін арттыра түсті. Әрі оларға өтірік айтқандары себепті күйзелтуші азап бар.,
18,"Ал, оларға: «Жер бетінде бұзу-бүлдірушілік жасамаңдар!» - деп айтылса: «Шын мәнінде, біз - тек қана түзетушіміз», - дейді.",
19,"Біліңдер! Ақиқатында, нағыз бұзушылар - солардың өздері, алайда олар оны сезбейді.",
20,"Әрі оларға: «Адамдар иманға келгендей, сендер де иманға келіңдер!» - делінсе, олар: «Осы ақымақтарға ұқсап иман келтіруші боламыз ба?» - дейді. Біліңдер! Ақиқатында, нағыз ақымақ - төмендер солардың өзі. Бірақ, олар мұны білмейді.",
21,"Олар  /  мұнафиқтар  /  иманға келгендерді кездестірсе: «Біз де иманға келдік»,- дейді. Ал, қашан шайтандарымен оңаша қалса: «Шын мәнінде, сендермен біргеміз, біз оларды мазақ етіп қана жүрміз», - дейді.",
22,"Аллаһ оларды масқара етіп, шектен шығуда лағып жүрулерін арттырып қояды.",
23,"Міне, осылар - адасуды тура жол орнына сатып алғандар. Оларға бұл саудалары пайда бермеді әрі олар тура жолмен жүрмеді.",
24,"Олардың мысалы - от жағуды қалаған  біреу секілді. Оның айналасын от жарық қылғанда, Аллаһ олардың нұрын алып қойып, қараңғы түнекте көрмейтін етіп қалдырды.",
25,"/ Олар /  саңырау, мылқау және соқыр.Әрі олар қайтпайды.",
26,"Немесе аспандағы жаңбыр бұлты секілді. Оның ішінде қараңғы түнектер, күн күркірі және найзағай бар. Олар найзағайдан-өлімнен қорыққандай, саусақтарын құлақтарына тығады. Аллаһ - кәпірлерді толық Қамтушы",
27,"Найзағай олардың жанарларын алып қоя жаздайды. Оларға жарық түскен сайын, олар жарықта жүреді де қараңғылық түскен кезде, олар тұрып қалады. Егер Аллаһ қаласа, олардың көзі мен құлағын алып қояр еді. Аллаһ әрбір нәрсені Жасай алушы",
28,"Ей, адамдар! Сендерді және сендерден бұрынғыларды да жаратқан өздеріңнің Раббыңа құлшылық қылыңдар - тақуа болуларың үшін.",
