id,text,foot_notes
1,"Во името на Аллах, Семилосниот, Милостивиот![<sup>1</sup>]","Овој ајет, кај муслиманите познат по својата оригинална форма – Бисмиллах, се пов­торува пред секое поглавје во Куранот, освен пред деветтото. Еднаш е спомнат во поглавјето Немл како дел од ајет. Се смета дека тој е интегрален дел од Куранот и дека е објавен поради раздвојување на поглавјата едно од друго."
2,"Сета благодарност Му припаѓа на Аллах[<sup>1</sup>], Господарот на световите[<sup>2</sup>].","[ | <p>] Аллах е арапски збор за Единиот Бог. Истото значење го има арамејскиот збор Елох. Во христијанството се користи поимот Отецот, а во јудаизмот Јахве.</p><p>[</p>"
3,"Семилосниот, Милостивиот.",
4,Владетелот на Судниот ден.,
5,Само Тебе Те обожуваме и само од Тебе помош бараме!,
6,Упати нè на Правиот пат[<sup>1</sup>].,"Сиратул мустеким – Правиот пат, тој означува пат кој е прав и широк; тоа е пат на кој нема нагорнини, надолнини, ниту кривини."
7,"На патот на тие на коишто благодатта им ја подари, а не на тие коишто гневот го предизвикаа ниту на тие што заталкаа!",
8,Елиф-лам-мим![<sup>1</sup>],"Елиф, лам и мим се букви од арапската азбука. Многу поглавја во Куранот поч­ну­ваат со овие и со други букви (та-син-мим, каф-ха-ајн-сад, ја-син, та-ха) кои се читаат самостојно, не образувајќи зборови. Ваквите курански стихови ука­жу­ва­ат на недостижноста на Куранот како Божја објава. По секој ваков стих, следи друг каде што се спомнува Куранот и неговата објава од Господарот на световите."
9,"Оваа Книга[<sup>1</sup>], во која нема сомнеж, е Упатство за богобојазливите.","Книга – Објава, Откровение од Бог до човештвото. Се употребува за сите Откро­ве­нија, а конкретно тука се однесува само на Куранот. За Куран се смета само арап­ски­от текст кој е неговата изворна форма, непроменета и сочувана повеќе од 14 ве­ка од самото објавување коешто траело во период од 23 години. Затоа сè останато е само превод на значењето на оригиналниот арапски текст."
10,"За тие што веруваат во гајбот[<sup foot_note=<sup>2</sup>7200>1</sup>] (невидливото), го извршуваат намазот[9] (молитвата) и даваат од тоа со што Ние[<sup>3</sup>] ги снабдуваме,","<p>] Гајб (ар.) – невидливо, непоимливо. Се однесува на сето тоа за што нè извес­тиле Бог и Неговиот Пратеник Мухамед, Божјиот мир нека биде над него, а што е недос­тап­но за нашиот вид и во што без сомнеж веруваме дека е вистина. При­мер за тоа е верувањето во ангелите, демоните, во Судниот ден, задгробниот живот, рајот, пеко­лот итн.</p><p>[</p> | <p>] Намаз (перс.), салах (ар.) – дневна, редовна и облигативна молитва кај мусли­ма­ните. Се состои од рекати. Еден рекат е основен дел од молитвата и се состои од едно сто­е­ње – наречено кијам, едно поклонување наречено руку и две спуш­та­ња ничкум на­ре­чени сеџда. Во понатамошниот текст по секое спомнување на намазот, во загради ќе стои молитва за да се направи разлика помеѓу молитвата и која било друга молба упа­тена до Бог која кај муслиманите се нарекува дова (ар.).</p><p>[</p>"
11,"и за тие што веруваат во тоа што ти е објавено тебе и во тоа што е објавено пред тебе, и коишто цврсто веруваат во оној свет[<sup>1</sup>].","Оној свет или идниот свет е познат кај муслиманите како Ахирет (ар.), но поради по­едноставување на разбирањето на преводот на Куранот, во поната­мошниот текст ќе се употребува токму овој термин – „оној свет“."
12,Тоа се тие што се упатени од Господарот свој и тоа се тие што се спасени.,
13,"На тие што не веруваат навистина им е сеедно дали ти ќе ги опоменуваш или нема да ги опоменуваш, тие не веруваат!",
14,"Аллах ги запечатил срцата нивни и ушите нивни, а пред очите нивни има перде, и ним им следува голема казна.",
15,Има луѓе коишто велат: „Веруваме во Аллах и во другиот свет“ – а не се верници.,
16,"Тие мислат дека ги мамат Аллах и тие што веруваат, иако, не чувствувајќи го тоа, самите себеси се мамат.",
17,Во срцата нивни се наоѓа болест[<sup>1</sup>] и Аллах им ја зголемува болеста. Нив ги чека болно страдање поради тоа што лажеа!,Болеста која е во нивните срца е сомнежот и неверувањето.
18,"И кога ќе им се каже: „Не правете безредие на Земјата!“, одговараат: „Ние само воспоставуваме ред!“",
19,"Зарем така? Тие, навистина, се вистински интриганти! А за тоа не се ни свесни.",
