id,text,foot_notes
1,Maqaa Rabbii Akkaan Mararfataa Akkaan Rahmata Godhaa Taheetiin.{1} <sup foot_note=>1</sup>,
2,Faaruun hundi tan Rabbii Gooftaa aalamaati.,
3,Akkaan mararfataa akkaan rahmata godhaa.,
4,Abbaa (mootii) guyyaa murtii.,
5,Si qofa gabbarra; Si qofatti gargaarsifannas.,
6,Daandii sirraawaatti nu qajeelchi.,
7,"Karaa warra isaan irratti tola ooltee; kan warra irratti dallanamee kanhintahin, kan jallattootaa (kan hintahin) (nu qajeelchi) {2} {3} <sup foot_note=>1</sup>",
8,"Alif, Laam, Miim {1}{2} <sup foot_note=>1</sup>",
9,Kitaabni kuni [Rabbiin biraa ta’uu isaa keessatti] mamiin isa keessa hin jirreedha; warra Rabbiin sodaataniif qajeelfama.,
10,"Isaannan ""Ghaybitti"" (wantoota miiraan hin dhaqqabamnetti) amanan, kan salaata sirnaan salaataniifi waan Nuti isaaniif arjoomne irraa kennataniidha.",
11,Ammas isaan warra waan gara keetti buufameefi waan si dura buufametti amananiifi isaan Aakhiraa dhugoomsaniidha.,
12,Warri sun qajeelfama Rabbii isaanii biraa ta’e irra jiru. Ammas warri sun isaanumatu milkaawoodha.,
13,"Dhugumatti, isaannan kafaran isaan akeekkachiiftes isaan akeekkachiisuu baattes [lamaanuu] isaan irratti wal qixa; hin amanan.",
14,Rabbiin onneewwan isaaniirrattiifi dhageettuu isaanii irratti cufe; agartuu isaanii irras haguuggiitu jira. Isaaniif azaaba guddaatu jira.,
15,"Namoota irraa nama ""Rabbiifi Guyyaa Aakhiraatti amanne"" jedhutu jira. ammoo isaan warra amanee miti.",
16,Rabbiifi warra amanan gowwoomsan [isaanitti fakkaata]; garuu lubbuu isaanii malee homaa hin gowwoomsanu. ammoo hinbeekan.,
17,Onneewwan isaanii keessa dhukkuba [shakkiifi nifaaqaatu] jira. Rabbiinis dhukkuba isaaniif dabale. Waan kijibaa turaniif jechas adabbii laalessaa ta’etu isaaniif jira.,
18,"Yeroo ""Dachii keessatti badii hin raawwatinaa"" isaaniin jedhame ""nuti warra tolchu qofa"" jedhan.",
19,Dhagayaa! Dhugumatti isaan isaanumatu warra badiiti. Garuu [haala gadhee isaanii kana] hin beekanu.,
20,"Yeroo ""akka namoonni amananitti amanaa"" isaaniin jedhame ""sila nuti akka warri gowwaan amananitti amannaa?"" jedhu. Dhagayaa! dhugumatti isaan isaanumatu gowwoota Garuu isaan hin beekan.",
21,"Yeroo warra amanan qunnaman ""nuti amanneerra"" jedhuYeroo sheyxaanota (hoggantoota) isaanii waliin kophaa ba’an immoo "" nuti isin waliin jirra; dhugumatti nuti isaanitti qishnuma (qoosaa) godhuuf [akkas goone]"" jedhu.",
22,Rabbiin [mindaa qishnaa isaaniitiif] isaanitti qishnaa godha; jallina isaanii keessatti isaan dhiisa odoo isaan dhama’anuu .,
23,Isaan warra jallina qajeelumaan bitataniidha. Daldalli isaaniis bu’aa dhabe. Isaanis warra qajeelan hin turre.,
24,"Fakkeenyi isaanii akka fakkii isa ibidda qabsiifatee, yeroma isheen waan naannoo isaa ibsitu Rabbiin ifaa isaanii adeemsisee dukkana keessatti haala hin argineen isaan dhiiseeti",
25,"[Isaan] duudaa, arraba qabamaafi jaamaadha. Kanaafuu [gara karaa qajeelaa] hin deebi’anu.",
26,"Yookiin akka rooba cimaa samii irraa ta’ee kan isa keessa dukkanoonni, mandiisuufi hangaasuun jirtu, bakakkaa irraa quba gurra isaanii keessa kaa’atu, du'a sodaaf. Rabbiin kaafirootatti marsaadha.",
27,"Calanqichi ija isaanii butuutti dhiyaata. Dhawaata isaaniif ifuun isa keessa deemu, Yeroo isaan irratti dukkanaa’e immoo ni dhaabatu. Rabbiin odoo fedhee dhageettiifi agartuu isaanii ni deemsisa ture. Dhugumatti, Rabbiin waan hunda irratti danda’aadha.",
28,Isin Yaa namootaa! gooftaa keessan isa isiniifi warra isiniin duraa uume qofa gabbaraa! Akka Rabbiin sodaattaniif jecha.,
29,"[Rabbiin] Isa dachii afata, samii immoo ijaarsa (gubbaa) isiniif taasisee, kan samii irraa bishaan buusee, ergasii isaan fuduraa irraa soorata isiniif baaseedha. Kanaafuu odoo [kan gabbaramuun malu Rabbiin qofa ta’uu] beektanuu Rabbiif shariikota hin godhinaa.",
30,"Yoo waan Nuti gabricha keenya irratti buufne (Qur’aana) irraa mamii keessatti taatan, suuraa akka isaa [tokko] fidaatii ragoota (gargaartotaafi deeggartoota) keessan kan Rabbiin ala jiranis waamadhaa.yoo kan dhugaa dubbattan taatan.",
31,Yoo [amma] hin dalagin; fuuldurattis hin dalagdanu; kanaafuu ibidda qabsiisaan ishee namaafi dhagaa ta’e kan kaafirootaaf qopheeffamte sodaadhaa.,
32,"Isaan amananii, gaggaarii hojjatan, jannatoonni laggeen jala ishee yaatu isaaniif jira jechuun [isaan] gammachiisi. Dhawaatuma firii ishee irraa sooramaniin ""kun soorata kana dura sooramneedha"" jedhu. Wal fakkaataa ta'ee isaaniif kenname. Isaaniif ishee keessa haadholeen manaa qulqulleeffaman jiru. Isaan ishee keessatti hafoodha.",
33,"Dhugumatti Rabbiin bookees taatee waan ishee irra guddaa (yookiin xiqqaa) fakkeenya taasisuu hin saalfatu. Warri amanan akka inni dhugaa Gooftaa isaanii irraa ta’e ni beeku. Isaan kafaran immoo ""Rabbiin fakkeenya kanatti maal fedhe?"" jedhu. [Rabbiin] kanaan (namoota) baay’ee jallisee, (namoota) baay’ees qajeelcha. Finciltoota malees (kan biraa) ittiin hin jallisu.",
34,"[Isaan] warra waadaa Rabbii erga kakuun jabeessanii booda diiganii, waan (firummaa) Rabbiin fufamuu isaatti ajaje muranii, dachii keessatti badii raawwataniidha. Warri sun hoonga’oon isaanuma.",
35,"Sila akkamitti Rabbitti kafartan? ka isinii du’oo turtan isin jiraachisee, ergasii isin ajjeesee, ergasii isin jiraachisu. ergasii gara Isaatti kan deebifamtan.",
36,"Inni (Rabbiin) Isa waan dachii keessa jiru hunda isiniif uumee, ergasii gara samii ol ta’ee, samii torba isaan taasiseedha. Inni waan hunda akkaan beekaadha.",
37,"Yeroo Gooftaan kee malaa’ikootaan ""dhugumatti, Ani (ilmaan namaa) dachii keessatti bakka bu’aa (khaliifaa) taasisuufan jira"" jedhes [yaadadhu]. Isaanis ni jedhan: ""Sila  namoota ishee (dachii) keessatti badii dalagan, kan dhiiga (walii) dhangalaasan ishee keessatti taasiftaa?"" odoo nuti galata keetiin si faarsinuufi si qulqulleessinuu"". [Innis] ni jedhe: ""Dhugumatti, Ani akkaan beekaa waan isin hin beekneti.""",
