id,text,foot_notes
1,به نام خداوند بخشندۀ مهربان,
2,ستایش مخصوص الله است که پروردگار جهانیان است.,
3,بخشندۀ مهربان است,
4,مالک روز جزاء است.,
5,تنها تو را می‌پرستیم؛ و تنها از تو یاری می‌جوییم.,
6,ما را به راه راست هدایت کن.,
7,راه کسانی‌که بر آنان نعمت دادی؛ نه خشم گرفتگان بر آن‌ها؛ و نه گمراهان [مراد از ﴿أَنۡعَمۡتَ عَلَيۡهِمۡ﴾: انبیا، صدیقین، شهداء و صالحین هستند، چنانکه در سورۀ نساء آیه آمده است. و مراد از ﴿ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ﴾ یهود اند. مراد از گمراهان، نصاری می‌باشد].,
8,الف. لام. میم [ الف. لام. میم، حروف مقطعه هستند که در اوایل برخی از سوره‌های قرآن آمده است، که معانی آن‌ها را تنها الله متعال می‌داند. (تفسیر ابن کثیر)].,
9,این کتابی است که هیچ شکی در آن نیست و مایه هدایت پرهیزگاران است. [مراد از پرهیزگاران کسانی‌اند که فقط از الله متعال می‌ترسند و احکام او را به‌جای می‌آورند و از چیزهای منع‌شده دوری می‌جویند].,
10,آن کسانی‌که به غیب ایمان می‌آورند و نماز را بر پا می‌دارند و از آنچه روزی‌شان داده‌ایم انفاق می‌کنند. [مراد از غیب، تمام آن چیزهایی است که عقل و حواس نتواند آن را در دنیا درک کند مانند: وجود الله متعال، فرشتگان، حیات بعد از مرگ و غیره، و در اینجا مراد از ایمان به غیب، یقین‌داشتن به تمام آن مسایل ماورای عقل و حواس که الله و رسول ما را از آن خبر داده‌اند می‌باشد مانند: ایمان به الله متعال، اعتقاد داشتن به فرشتگان، کتاب‌های آسمانی، پیامبران، روز رستاخیز و قضا و قدر.],
11,و آنان که به آنچه بر تو نازل شده و آنچه (بر پیامبران) پیش از تو نازل شده، ایمان می‌آورند، و به روز رستاخیز یقین دارند.,
12,آنان بر هدایت از جانب پروردگارشانند و آنان رستگارانند.,
13,کسانی‌که کافر شدند، برایشان یکسان است که آنان را بترسانی یا نترسانی، ایمان نمی‌آورند.,
14,الله بر دلها و گوش‌هایشان مهر زده است و بر چشم‌هایشان پرده‌ای است، و برای آن‌ها عذاب بزرگی است.,
15,گروهی از مردم هستند که می‌گویند: به الله و روز رستاخیز ایمان آورده‌ایم، در حالی‌که ایمان ندارند.,
16,آنان (به نظرشان) الله و مؤمنان را فریب می‌دهند، در حالی‌که جز خودشان را فریب نمی‌دهند ولی نمی‌فهمند.,
17,در دل‌های آنان بیماری است و الله بر بیماری آنان افزوده، و بخاطر دروغ‌هایی که می‌گفتند، برایشان عذاب دردناکی است.,
18,و هنگامی‌که به آن‌ها گفته شود: «در زمین فساد نکنید» می‌گویند: «ما فقط اصلاح‌کننده‌ایم».,
19,آگاه باشید! آن‌ها همان مفسدانند؛ ولی نمی‌فهمند.,
20,و هنگامی‌که به آنان گفته شود: «ایمان بیاورید؛ چنانکه مردم ایمان آورده‌اند» می‌گویند: «آیا ایمان بیاوریم چنانکه بی‌خردان ایمان آوردند؟» آگاه باشید، آن‌ها همان نابخردانند؛ ولی نمی‌دانند.,
21,و هنگامی‌که افراد با ایمان را ملاقات می‌کنند، می‌گویند: «ما ایمان آورده‌ایم»، و هنگامی‌که با شیطان‌های خود خلوت می‌کنند، می‌گویند: «ما با شماییم، ما فقط (آن‌ها را) مسخره می‌کنیم».,
22,الله آنان را مسخره می‌کند، و آن‌ها را در طغیان‌شان نگه می‌دارد تا سرگردان شوند.,
23,آنان کسانی هستند که گمراهی را به هدایت خریدند، پس تجارت آن‌ها سودی نداد، و هدایت نیافتند.,
24,داستان اینان همانند داستان کسی است که آتشی افروخته پس چون آتش اطراف او را روشن ساخت، الله نورشان را بگرفت و در تاریکی‌هایی که نمی‌بینند رهایشان کرد.,
25,کرانند، گنگانند، کورانند، پس باز نمی‌گردند.,
