id,text,foot_notes
1,"În numele lui Allah Cel Milostiv, Îndurător [ Ar‑Rahman, Ar‑Rahim]<sup>1</sup>,",Se recunosc 99 de atribute ale lui Allah.
2,"Laudă lui Allah, al lumilor Stăpânitor,",
3,"Cel Milostiv, Îndurător,",
4,"În Ziua de Apoi Stăpânul Cârmuitor,",
5,"Numai pe Tine Te adorăm, numai la Tine cerem ajutor,",
6,"Pe drumul drept Tu fii‑ne Călăuzitor,",
7,"Drumul celor cu care fost‑ai Tu dăruitor, nu al celor pe care Tu Te‑ai mâniat, nici al rătăciţilor.",
8,"Alif, Lam, Mim<sup>1</sup>.","„Alif, Lam, Mim” – trei litere (muqatta’at) cu care a început pentru a atrage luarea‑aminte a ascultătorului la cuvintele care vor urma după ele. Unii exegeţi au fost înclinaţi să creadă că s‑a făcut uz de ele în chip de provocare adresată arabilor de a aduce alte vorbe asemănătoare Coranului, alcătuite din aceste trei litere. Un grup de exegeţi s‑a oprit la ele, zicând: „Numai Allah ştie ce a intenţionat cu ele”."
9,"Aceasta este Cartea<sup>1</sup>, cea fără îndoială; Ea este Călăuză pentru cei smeriţi,",Cartea este deseori folosită cu sensul de Coran.
10,Care cred în cele nevăzute şi plinesc Rugăciunea [As‑Salat] şi din ceea ce le‑am dăruit fac milostenie.,
11,Şi care cred în ceea ce ţi‑a fost pogorât ţie<sup>1</sup> şi în ceea ce a fost pogorât înaintea ta şi în Viaţa de Apoi ei se încred.,Profetului Muhammed.
12,Aceia sunt călăuziţi de Domnul lor şi aceia sunt izbânditori.,
13,Pentru cei care nu cred e totuna de‑i previi sau nu‑i previi; ei nu cred<sup>1</sup>.,Sunt avuţi în vedere ipocriţii.
14,"Allah a zăvorât inimile lor şi urechile lor, iar peste ochii lor s‑a aşternut o năframă. Şi ei vor avea [parte de] chin mare.",
15,"Printre oameni sunt unii care spun: „Noi credem<sup>1</sup> în Allah şi în Ziua de Apoi”, în vreme ce ei, de fapt, nu cred.",Crezul reprezintă convingerea în existenţa lui Allah şi în profeţia lui Muhammed (Pacea fie asupra lui) iar faptele să oglindească acest crez
16,"Ei încearcă să‑i înşele pe Allah precum şi pe cei care au crezut, dar nu se înşală decât pe ei înşişi, fără a‑şi da seama.",
