id,text,foot_notes
1,"Ба номи Аллоҳи бахшандаи меҳрубон! (Ин сураро сураи //Фотиҳа,/ меноманд, зеро ифтитоҳи Қуръони азим аз ин сура оғоз мешавад. Ва ин сураро //Масонӣ,/ низ меноманд, чун дар ҳар ракаати намоз қироат карда мешавад. Ин сура дорои номҳои дигар ҳам аст. Яъне, Ибтидо мекунам хондани Қуръонро бо номи Аллоҳ ва бо мадади Ӯ. ""Аллоҳ"" номи Парвардигор аст, маънояш: Нест маъбуде бар ҳақ ҷуз Ӯ. Ин ном аз хосатарин номҳои Аллоҳ аст ва ин номро ба ғайр аз Ӯ ном гузорида намешавад. Раҳмон, соҳиби раҳмати ом аст, ки ба он сифат карда шудааст ва раҳматаш ҷамиъи халқро фаро гирифтааст. Раҳим, меҳрубон бо мӯъминон. Ин ду ном, аз номҳои Аллоҳ таъоло аст, ки исбот кардани сифати раҳматро дарбар мегирад.)",
2,"Ситоиш Аллоҳро, ки Парвардигори ҷаҳониён аст. (Ҳамду сано бар Аллоҳи бузург ба сифатҳои камолаш, ва ба неъматҳои ошкору пинҳониаш, динӣ ва дунявиаш. Мазмуни ин оят ба амр далолат мекунад, то Ӯро бандагонаш ҳамд бигӯянд. Танҳо Ӯ сазовори ибодат аст, зеро Ӯ офаридагори халқ, қоим ба умури онҳо; бо неъматҳояш тарбиятгари ҷамиъи халқаш аст; ва тарбиятгари дӯстонаш аст ба имон ва амали солеҳ.)",
3,"Бахшандаи меҳрубон,",
4,"Подшоҳи рӯзи ҷазост. Ба ғайр аз Ӯ дар рӯзи қиёмат ҳеҷ подшоҳе
нест ва он рӯз, рӯзи подоши амалҳост. Ин оят барои намозгузор дар ҳар ракаат огоҳкунандааст ба рӯзи қиёмат. Ва мусалмоНро ба амали солеҳ равона менамояд ва аз амали бад бозмедорад.",
5,"Танҳо Туро мепарастем ва танҳо аз Ту ёрӣ меҷӯем. (Мо танҳо Туро ибодат мекунем ва дар ҷамиъи корамон аз Ту ёрӣ меҷӯем. Тамоми амр аз они Туст. Ҳеҷ касе миқдори заррае аз он соҳиб шуда наметавонад. Ин оят далел аст, ки банда наметавонад чизеро аз навъҳои ибодат барои ғайри Аллоҳ сарф намояд, ба монанди дуо, мадад ҷустан, забҳ ва тавоф. Ва ин оят низ шифои дилҳост аз бемориҳои худнамоӣ ва худписандӣ.)",
6,"Моро ба роҳи рост ҳидоят кун: (Моро иршод ва далолат намо ба роҳи мустақим ва тавфиқ фармо ва бар он устувор кун, то ба дидори Ту мушарраф шавем. Ва он роҳ Ислом аст. Роҳест, ки бандаро ба ризояти Аллоҳ ва ҷаннаташ мебарад. Банда саодатманд намешавад, то модоме ки дар ин роҳ мустақим набошад.)",
7,"Роҳи касоне, ки онҳоро неъмат додаӣ, на он роҳе, ки бар онҳо хашм гирифтаи ва на роҳи гумроҳон. (Роҳе, ки Ту неъмати худро бар эшон арзонӣ намудӣ аз паёмбарон, сиддиқон, шуҳадо ва солеҳон, ки онҳо ахди ҳидоят ва истиқоматанд. Ва моро набар ба он роҳе, ки Ту бар онҳо хашм гирифтаӣ. Онон касоне буданд, ки ҳақро донистанд ва ба он амал накарданд. Ва онҳо яхудиёнанд. Ва нагардон моро аз касоне, ки роҳгумкардаанд. Онон касонеанд, ки ҳидоят наёфтаанд ва гумроҳ шудаанд. Ва онон насороанд. Ин оят шифо аст барои қалби мусалмон аз инкори ҳақ, ҷаҳл ва гумроҳӣ. Бузургтарин неъмате, ки Аллоҳ таъоло бар бандагонаш арзонӣ кардааст, ин Ислом аст. Уламо иттифоқ кардаанд бар он, ки лафзи ""Омин"" аз ояти сураи Фотиҳа ба ҳисоб намеравад. Аз ин сабаб дар Қуръон онро китобат накардаанд. Маънои ""Омин"", ин аст, ки: Илоҳо қабул намо! )",
8,"Алиф. Лом. Мим. Ин гуна ҳарфҳо, ҳарфҳои муқаттаъаанд<sup>1</sup>, дар аввали сураҳо меоянд. Дар ин ишораест ба эъҷози Қуръон ва ҳуҷҷат овардан бар мушрикон. Ин ба он далолат мекунад, ки арабҳо мисли ин гуна ваҳйи илоҳӣ овардан натавонанд.","Ин сирри Қуръони аст, ба зоҳири ин ҳарфҳо имон дорем ва илми онро ба Аллоҳ месупорем. Тафсири ""Маъолиму-т-танзил"" таълифи Абумуҳаммад Ҳусайн ибни Масъуди Бағавӣ, 1\59"
9,"Ин аст ҳамон китобе, ки дар он ҳеҷ шакке нест ва аз ҷиҳати равшан буданаш ба ҳеҷ кас дуруст нест, ки дар он шак кунад. Аз ин китоб баҳра мебаранд муттақиён, онон, ки аз Аллоҳ метарсанд ва ҳукмҳои Уро пайраванд. Ин китоб парҳезгоронро роҳнамост:",
10,"онон, ки имон меоваранд ба ғайб, ки ҳиссиёту ақлашон онро дарк намекунад, магар ба тариқи ваҳйе, ки Аллоҳ ба расулонаш мефиристад. (Имон ин калимаест, ки дарбар мегирад иқрор кардани ба Аллоҳ, малоикаҳо, китобҳо, расулон, рӯзи охират ва тақдири некӣ ва бадиро ва низ иқрор кардани бо забон ва амал кардан бо дил, забон ва ҷавореҳ аст)[1] ва онон бинобар тасдиқашон ба ғайб намозро дар вақташ мувофиқи шариъати Муҳаммад саллаллоҳу алайҳи ва саллам адо менамоянд ва аз он чи рӯзияшон додаем, нафақа медиҳанд (нафақаи воҷибӣ; монанди закот, нафақаи зану фарзанд... ва нафақаи мустаҳабӣ; монанди ҳамаи корҳои хайр[2]). <sup>1</sup>","[""Яъне, онҳое, ки аз азоби Аллоҳ ҳазар мекунанд ва умедвори раҳматаш мебошанд. (Тафсири \""Қуръони азим\"", таълифи Абулфидо Исмоил ибни Умар ибни Касир. 1 \\ 165,                 "", "" Тафсири \""Тайсиру-л-кариму-р-раҳмон фи тафсири каломи-л-маннон\"", таълифи Абдураҳмон ибни Носир ибни Саъдӣ 1\\40               "", "" Тафсири \""Тайсиру-л-кариму-р-раҳмон фӣ тафсири каломи-л-маннон\"", таълифи Абдураҳмон ибни Носир ибни Саъдӣ 1\\40""]"
