id,text,foot_notes
1,"Ім’ям Аллага Милостивого, Милосердного",
2,"Хвала Аллагу, Господу світів",
3,"Милостивому, Милосердному",
4,Царю Судного Дня,
5,Лише Тобі ми поклоняємося і лише в Тебе просимо допомоги,
6,веди нас шляхом прямим,
7,"шляхом тих, кого Ти наділив благами, а не тих, хто під гнівом Твоїм, і не тих, хто заблукав!",
8,Аліф. Лям. Мім.,
9,"Це — Писання, в якому немає сумніву, — прямий шлях для богобоязливих",
10,"які вірують у потаємне, звершують молитву та жертвують із того, чим наділили Ми їх",
11,"які вірять у те, що зіслано тобі та в те, що зіслано перед тобою, і впевнені в існуванні наступного життя",
12,"Вони на шляху Господа їхнього, вони матимуть успіх",
13,"Воістину, тим, які не вірують, байдуже, застерігатимеш ти їх чи ні — вони не увірують",
14,"Аллаг запечатав їхні серця та слух, а на очах їхніх завіса. Чекає на них кара велика",
15,"Є серед людей такі, хто говорить: «Ми увірували в Аллага та в Останній День», — але ж насправді не вірують вони",
16,"Вони намагаються обманути Аллага й тих, які увірували, але ж насправді вони обманюють лише самих себе. Та не розуміють цього вони",
17,"Їхні серця хворі і посилить Аллаг цю хворобу! Чекає на них болісна кара — за те, що вони говорили неправду!",
18,"Коли говорять їм: «Не чиніть безчестя на землі», — вони відповідають: «Та ми ж тільки робимо краще!",
19,"Та ж ні! Воістину, вони — нечестивці, хоча самі цього й не відчувають",
20,"І коли говорять їм: «Увіруйте — так, як вже увірували люди», — то відповідають вони: «Невже ми увіруємо так, як увірували ці невігласи?» Та ж ні! Воістину, це вони — невігласи, але самі цього не знають",
21,"І коли вони зустрічають тих, які увірували, то говорять: «Ми увірували!» А коли залишаються наодинці зі своїми шайтанами, то говорять: «Ми — з вами і ми лише насміхалися!",
22,Аллаг сам поглузує з них та й залишить їх блукати в непослуху,
23,"Вони — ті, які купили оману за прямий шлях! Але немає прибутку в цій справі і не йдуть вони прямим шляхом",
24,"Вони — як ті, хто розпалив вогонь, а коли він освітив усе навколо, Аллаг забрав це світло, залишивши їх у пітьмі, і нічого не бачать вони",
25,"Глухі, німі та сліпі! Вони не повернуться [на прямий шлях]",
26,"Або й на тих, що потрапили під зливу із хмари на небі, а там — темрява, грім, блискавка! Вони бояться смерті й затуляють пальцями вуха, коли вдаряє блискавка. Аллаг оточує невіруючих",
27,"Блискавка мало не осліплює їх. Коли спалах освітлює їх, вони йдуть, а коли огортає темрява, зупиняються. Якби Аллаг побажав, то забрав би їхній слух та зір. Воістину, Аллаг спроможний на кожну річ",
28,"О ви, люди! Поклоняйтеся Господу вашому, Який створив і вас, і тих, що жили перед вами. Можливо, ви будете богобоязливими",
29,"Тому, Хто створив для вас землю ложем, а небо — стелею, Хто зіслав із неба воду й проростив нею плоди для вашого прожитку. Тож не додавайте Аллагу рівних, адже ви знаєте",
30,"Якщо ви сумніваєтесь у тому, що зіслали Ми рабу Нашому, то принесіть суру, подібну до цієї! І покличте своїх свідків, окрім Аллага, якщо ви правдиві",
31,"А якщо ви не зробите цього — а ви ніколи не зробите цього! — то бійтеся вогню, в якому палають люди та каміння. Чекає він на невіруючих",
32,"Сповісти ж радісну звістку тим, які увірували й творили добро. Чекають на них сади, де течуть ріки. Коли наділяють їх плодами звідти, то вони говорять: «Це те, чим наділяли нас раніше», — але ж насправді схожі вони лише ззовні. Матимуть вони там пречистих дружин. І будуть вони там довіку",
33,"Воістину, Аллаг не посоромиться навести як приклад комара або й щось понад нього. Тож ті, які увірували, знають, що така притча — істина від Господа їхнього, а ті, які не увірували, говорять: «Що хотів сказати Аллаг цією притчею?» Багатьох Він збиває нею зі шляху, а багатьох веде шляхом прямим. А зі шляху Він збиває лише нечестивців",
34,"тих, які порушують завіт Аллага після прийняття його, розривають те, що Аллаг наказав з’єднати, та й чинять безчестя на землі! Саме вони втратять усе",
35,"Як, ви не віруєте в Аллага? Ви були мертвими, а Він дав вам життя. Потім Він знову вмертвить вас і знову подарує вам життя, і до Нього повернетесь ви!",
36,"Він — Той, Хто створив для вас усе, що на землі, а потім повернувся до неба та й впорядкував сім небес. Він знає про кожну річ",
37,"І коли сказав Господь твій ангелам: «Я поставлю намісника на землі!» — то вони запитали: «Ти хочеш поставити там того, хто чинитиме безчестя та проливатиме кров, тоді як Ми прославляємо Тебе хвалою та славимо святість Твою?» Він відповів: «Я знаю те, чого не знаєте ви!",
38,"І Він навчив Адама всіх імен, а потім сказав ангелам: «Назвіть Мені ці імена, якщо ви правдиві!",
39,"Ті відповіли: «Преславний Ти! Ми знаємо лише те, чому Ти навчив нас. Воістину, Ти — Всезнаючий, Мудрий!",
40,"Тоді Він сказав: «О Адаме! Назви їм ці імена!» А коли той назвав їм ці імена, Він мовив: «Чи ж не говорив Я вам, що знаю потаємне небес і землі, і знаю те, що відкриваєте ви та що приховуєте?",
41,"І коли Ми сказали ангелам: «Низько вклоніться Адаму!» — то вклонилися усі, крім Ібліса, який відмовився, вивищився та став невіруючим",
42,"І сказали Ми: «О Адаме! Живи разом зі своєю дружиною у раю. Їжте досхочу, коли б ви не побажали. Але не наближайтесь до цього дерева, бо станете одними з нечестивців!",
43,"Проте шайтан змусив їх перечепитись об нього. Тож вони залишили те, що було там, і сказали Ми: «Вийдіть! І одні з вас будуть ворогами для інших! Земля стане для вас притулком і ви матимете там прожиток — до певного часу!",
44,"І прийняв Адам слова Господа свого й покаявся перед Ним. Воістину, Він — Приймаючий каяття, Милосердний",
45,"І сказали Ми: «Вийдіть звідти всі!» А якщо прийде від Мене до вас прямий шлях, то ті, хто йтиме прямим шляхом Моїм, не матимуть страху й не будуть засмучені",
46,"А ті, які не вірували та й вважали Наші знамення брехнею, вони — жителі пекла. Будуть вони там довіку",
47,"О сини Ісраїля! Згадайте блага Мої, якими Я наділив вас! Тримайтеся завіту зі Мною і Я триматимуся завіту із вами! І бійтесь лише Мене",
48,"І увіруйте в те, що Я зіслав як підтвердження даного вам, та й не будьте першими, хто не повірить у це. Не продавайте знамень Моїх за низьку ціну і бійтеся лише Мене",
49,"Не вбирайте істину в неправду та не приховуйте істини, адже ви її знаєте",
50,"Звершуйте молитву, давайте закят та схиляйте коліна разом із тими, хто вже робить це.",
51,Невже ви закликаєте людей до праведності й забуваєте про себе? Адже ви читаєте Писання! Хіба ви не розумієте,
52,"Шукайте допомоги в терпінні й молитві. Це важко для всіх, окрім смиренних",
