id,text,foot_notes
1,شروع اللہ کے نام سے جو بڑامہربان،نہایت رحم والا ہے,
2,سب تعریف اللہ کے لئے ہے جو سارے جہان کا مالک ہے,
3,بہت مہربان، نہایت رحم والا ہے,
4,انصاف کے دن کا مالک ہے,
5,ہم تیری ہی عبادت کرتے ہیں اور تجھی سے مدد چاہتے ہیں,
6,ہم کو سیدھا راستہ دکھا,
7,ان لوگوں کا راستہ جن پر تو نے فضل کیا ان کا راستہ نہیں جن پر تیرا غضب ہوا ،اور نہ ان لوگوں کا راستہ جو راستے سے بھٹک گئے,
8,الف لام میم,
9,یہ اللہ کی کتاب ہے اس میں کوئی شک نہیں  راہ دکھاتی ہے ڈر رکھنے والوں کو,
10,جو یقین کرتے ہیں بن دیکھے، اور نماز قائم کرتے ہیں ، اور جو کچھ ہم نے ان کو دیا ہے وہ اس میں سے خرچ کرتے ہیں,
11,اور جو ایمان لاتے ہیں اس پر جو تمھارے اوپر اترا اور جو تم سے پہلے اتارا گیا، اور وہ آخرت پر یقین رکھتے ہیں,
12,انھیں لوگوں نے اپنے رب کی راہ پائی ہے اور وہی کامیابی کو پہنچنے والے ہیں,
13,جن لوگوں نے انکار کیا، ان کے لیے یکساں ہے ڈراؤ یا نہ ڈراؤ، وہ ماننے والے نہیں ہیں,
14,اللہ نے ان کے دلوں پر اور ان کے کانوں پر مہر لگادی ہے، اور ان کی آنکھوں پر پردہ ہے، اور ان کے لیے بڑا عذاب ہے,
15,اور لوگوں میں کچھ ایسے بھی ہیں جو کہتے ہیں کہ ہم ایمان لائے اللہ پر اور آخرت کے دن پر، حالاں کہ وہ ایمان والے نہیں ہیں,
16,وہ اللہ کو اور مومنین کو دھوکا دینا چاہتے ہیں  مگر وہ صرف اپنے آپ کو دھوکا دے رہے ہیں اور وہ اس کا شعور نہیں رکھتے,
17,ان کے دلوں میں روگ ہے تو اللہ نے ان کے روگ کو بڑھا دیا اور ان کے ليے درد ناک عذاب ہے، اس وجہ سے کہ وہ جھوٹ کہتے تھے,
18,اور جب ان سے کہا جاتا ہے کہ زمین میں فساد نہ کرو تو وہ جواب دیتے ہیں کہ ہم تو اصلاح کرنے والے ہیں,
19,آگاہ، یہی لوگ فساد کرنے والے ہیں ، مگر وہ نہیں سمجھتے,
20,اور جب ان سے کہا جاتا ہے کہ تم بھی اسی طرح ایمان لے آؤ جس طرح اور لوگ ایمان لائے ہیں تو کہتے ہیں کہ کیا ہم اس طرح ایمان لائیں جس طرح بے وقوف لوگ ایمان لائے ہیں  آگاہ، کہ بے وقوف یہی لوگ ہیں ، مگر وہ نہیں جانتے,
21,اور جب وہ ایمان والوں سے ملتے ہیں تو کہتے ہیں کہ ہم ایمان لائے ہیں ، اور جب اپنے شیطانوں کی مجلس میں پہنچتے ہیں تو کہتے ہیں کہ ہم تمھارے ساتھ ہیں ، ہم تو ان سے صرف ہنسی کرتے ہیں,
22,اللہ ان سے هنسي کر رہا ہے اوروہ ان کو ان کی سرکشی میں ڈھیل دے رہا ہے، وہ بھٹکتے پھر رہے ہیں,
23,یہ وہ لوگ ہیں جنھوں نے راہ کے بدلے گمراہی خریدی تو ان کی تجارت مفید ثابت نہ ہوئی، اور وہ نہ ہوئے راہ پانے والے,
24,ان کی مثال ایسی ہے جیسے ایک شخص نے آگ جلائی جب آگ نے اس کے ارد گرد کو روشن کردیا تو اللہ نے ان کی آنکھ کی روشنی چھین لی اور ان کو اندھیرے میں چھوڑ دیا کہ ان کو کچھ نظر نہیں آتا,
25,وہ بہرے ہیں ، گونگے ہیں ، اندھے ہیں  اب یہ لوٹنے والے نہیں ہیں,
26,یا ان کی مثال ایسی ہے جیسے آسمان سے بارش ہو رہی ہو، اس میں تاریکی بھی ہو اور گرج چمک بھی وہ کڑک سے ڈر کر موت سے بچنے کے ليے اپنی انگلیاں اپنے کانوں میں ٹھونس رہے ہوں  حالاں کہ اللہ منکروں  کو اپنے گھیرے میں ليے ہوئے ہے,
27,قریب ہے کہ بجلی ان کی نگاہوں کو اچک لے جب بھی ان پر بجلی چمکتی ہے، اس میں وہ چل پڑتے ہیں اور جب ان پر اندھیرا چھا جاتا ہے تو وہ رک جاتے ہیں  اور اگر اللہ چاہے تو ان کے کان اور ان کی آنکھوں کو چھین لے اللہ یقیناً ہر چیز پر قادر ہے,
28,اے لوگو، اپنے رب کی عبادت کرو جس نے تم کو پیدا کیا اور ان لوگوں کو بھی جو تم سے پہلے گزر چکے ہیں ، تاکہ تم دوزخ سے بچ جاؤ,
29,وہ ذات جس نے زمین کو تمھارے ليے بچھونا بنایا اور آسمان کو چھت بنایا، اور اتارا آسمان سے پانی اور اس سے پیدا کيے پھل تمھاری غذا کے ليے پس تم کسی کو اللہ کے برابر نہ ٹھہراؤ حالاں کہ تم جانتے ہو,
30,اگر تم اس کلام کے بارے میں شک میں ہو جو ہم نے اپنے بندے کے اوپر اتارا ہے تو لاؤ اس کے جیسی ایک سورہ اور بلالو اپنے مدد گاروں کو بھی اللہ کے سوا، اگر تم سچے ہو,
31,پس اگر تم یہ نہ کرسکو اور ہرگز نہ کرسکو گے تو ڈرو اس آگ سے جس کا ایندھن بنیں گے آدمی اور پتھر وہ تیار کی گئی ہے منکروں کے ليے,
32,اور خوش خبری دے دو، ان لوگوں کو جو ایمان لائے اور جنھوں نے نیک کام کيے، اس بات کی کہ ان کے ليے ایسے باغ ہوں گے جن کے نیچے نہریں جاری ہوں گی جب بھی ان کو ان باغوں میں سے کوئی پھل کھانے کو ملے گا تو وہ کہیں گے یہ وہی ہے جو اس سے پہلے ہم کو دیا گیا تھا اور ملے گا ان کو ایک دوسرے سے ملتا جلتا اور ان کے ليے وہاں پاکیزہ جوڑے ہوں گے اور وہ اس میں ہمیشہ رہیں گے,
33,اللہ اس سے نہیں شرماتا کہ بیان کرے مثال مچھر کی یا اس سے بھی کسی چھوٹی چیز کی پھر جو ایمان والے ہیں ، وہ جانتے ہیں کہ وہ حق ہے ان کے رب کی جانب سے اور جو منکر ہیں وہ کہتے ہیں کہ اس مثال کو بیان کرکے اللہ نے کیا چاہا ہے اللہ اس کے ذریعہ بہت سے لوگوں کو گمراہ کرتاہے اور بہت سے لوگوں کو اس سے راہ دکھاتا ہے اور وہ گمراہ کرتا ہے ان لوگوں کو جو نافرمانی کرنے والے ہیں,
34,جو اللہ کے عہد کواس کے باندھنے کے بعد توڑتے ہیں اور اس چیز کو توڑتے ہیں جس کو اللہ نے جوڑنے کا حکم دیا ہے اور زمین میں بگاڑ پیدا کرتے ہیں  یہی لوگ ہیں نقصان اٹھانے والے,
35,تم کس طرح اللہ کا انکار کرتے ہو، حالاں کہ تم بے جان تھے تو اس نے تم کو زندگی عطا کی پھر وہ تم کو موت دے گا پھر زندہ کرے گا پھرتم اسی کی طرف لوٹائے جاؤ گے,
36,وہی ہے جس نے تمھارے ليے وہ سب کچھ پیدا کیا جو زمین میں ہے پھر آسمان کی طرف توجہ کی اور سات آسمان درست کيے اور وہ ہرچیز کو جاننے والا ہے,
37,اور جب تیرے رب نے فرشتوں سے کہا کہ میں زمین میں ایک جانشین بنانے والا ہوں  فرشتوں نے کہا کیا تو زمین میں ایسے لوگوں کو بسائے گا جو اس میں فساد کریں اور خون بہائیں  اور ہم تیری حمد کرتے ہیں اور تیری پاکی بیان کرتے ہیں  اللہ نے کہا میں جانتا ہوں جو تم نہیں جانتے,
38,اور اللہ نے سکھادئے آدم کو سارے نام، پھر ان کو فرشتوں کے سامنے پیش کیا اور کہا کہ اگر تم سچے ہو تو مجھے ان لوگوں کے نام بتاؤ,
39,فرشتوں نے کہا کہ تو پاک ہے ہم تو وہی جانتے ہیں جو تو نے ہم کو بتایا بے شک تو ہی علم والا اور حکمت والا ہے,
40,اللہ نے کہا اے آدم، ان کو بتاؤ ان لوگوں کے نام تو جب آدم نے بتائے ان کو ان لوگوں کے نام تو اللہ نے کہا— کیا میں نے تم سے نہیں کہا تھا کہ آسمانوں اور زمین کے بھید کو میں ہی جانتا ہوں  اور مجھ کو معلوم ہے جو تم ظاہر کرتے ہو اور جو تم چھپاتے ہو,
41,اور جب ہم نے فرشتوں سے کہا کہ آدم کو سجدہ کرو تو انھوں نے سجدہ کیا، مگر ابلیس نے نہ کیا اس نے انکار کیا اور گھمنڈ کیا اور منکروں میں سے ہوگیا,
42,اور ہم نے کہا اے آدم! تم اور تمھاری بیوی دونوں جنت میں رہو اور اس میں سے کھاؤ آسودگی کے ساتھ جہاں سے چاہو اور اس درخت کے قریب مت جانا ورنہ تم ظالموں میں سے ہوجاؤ گے,
43,پھر شیطان نے اس درخت کے ذریعہ دونوں کو لغزش میں مبتلا کردیا اور ان کو اس عیش سے نکال دیا جس میں وہ تھے اور ہم نے کہا تم سب اترو یہاں سے تم ایک دوسرے کے دشمن ہوگے اور تمھارے ليے زمین میں ٹھہرنا اور کام چلانا ہے ایک مدت تک,
44,پھر آدم نے سیکھ ليے اپنے رب سے چند بول تو اللہ اس پر متوجہ ہوا بے شک وہ توبہ قبول کرنے والا، رحم کرنے والا ہے,
45,ہم نے کہا تم سب یہاں سے اترو پھر جب آئے تمھارے پاس میری طرف سے کوئی ہدایت تو جو لوگ میری ہدایت کی پیروی کریں گے، ان کے ليے نہ کوئی ڈر ہوگا اور نہ وہ غمگین ہوں گے,
