id,text,foot_notes
1,Меҳрибон ва раҳмли Аллоҳнинг номи билан бошлайман.<sup>1</sup>,"(Аллоҳ таоло Ўз китобини «бисмиллаҳ"" билан бошлагани мусулмонларга ҳам ўрнак, улар ҳам доим ўз сўзларини ва ишларини «бисмиллаҳ"" билан бошламоқлари лозим. Пайғамбар алайҳиссалом ҳадисларидан бирида: «Эътиборли ҳар бир иш «бисмиллаҳ"" билан бошланмас экан, унинг охири кесикдир», деганлар. Яъни, баракаси бўлмайди, охирига етмайди.)"
2,Ҳамд оламларнинг Робби — Аллоҳгадир.<sup>1</sup>,"(Оламларни яратгани учун ҳам, уларнинг тарбиячиси бўлгани учун ҳам, улардаги барча жонзотларга ҳаёт, ризқи рўз бергани учун ҳам Аллоҳ барча ҳамду саноларга сазовордир.)"
3,У Роҳман ва Роҳиймдир.<sup>1</sup>,"(Барчага-кофирга ҳам, мўминга ҳам меҳрибон ва неъмат берувчи. «Роҳман"" сифати фақат Аллоҳга хос бўлиб, ундан бошқа ҳеч кимга нисбатан бу сифатни ишлатиб бўлмайди. «Раҳийм"" сифати, хосроқ бўлиб, фақат мўминларга қиёмат куни раҳм қилувчи маъносини англатади ва Аллоҳдан ўзгаларга, жумладан, Пайғамбар алайҳиссаломга нисбатан ҳам ишлатилади.)"
4,Жазо-мукофот кунининг Эгасидир.<sup>1</sup>,"(""Дин"" сўзи арабчада ҳисоб, жазо, мукофот маъноларини билдиради. «Явмид-дин"" — қиёмат кунида бандалар қайта тирилтирилиб ҳисоб-китоб қилинади. Яхшига мукофот, ёмонга жазо берилади. Бу оятни ўқиганда қиёматни эслаб, ўша даҳшатли кунда фақат Аллоҳнинг ўзи ҳукм чиқаришини, ўша ерда уялиб қолмасликни эслаб, унга тайёргарлик кўришга аҳд қилинади.)"
5,Фақат Сенгагина ибодат қиламиз ва фақат Сендангина ёрдам сўраймиз.<sup>1</sup>,"(""Иййака наъбуду"" «фақат Сенинг айтганингни қиламиз"" маъносини англатади. Бу эса, банда тарафидан Аллоҳга берилган улкан ваъда. Аллоҳ таоло барчамизни ушбу ваъданинг устидан чиқадиганлардан қилсин. «Иййака настаъин"" ҳам, фақат Аллоҳдангина ёрдам сўраш маъносини англатади.)"
6,Бизни тўғри йўлга ҳидоят қилгин.<sup>1</sup>,"(""Ҳидоятга бошлаш"" луғатда бирор нарсага лутф билан йўллаб қўйишга айтилади.)"
7,"Ўзинг неъмат берганларнинг йўлига. Ғазабга қолганларникига ҳам эмас, адашганларникига ҳам эмас.<sup>1</sup>","(""Неъмат берилганлар""дан мурод — пайғамбарлар, сиддиқлар, шаҳидлар ва солиҳ бандалар. «Ғазабга дучор бўлганлар""дан мурод — яҳудийлар. Яҳудийларнинг ғазабга дучор бўлишларининг сабаблари кўп, жумладан, анбиёларни ўлдиришлари, Аллоҳга берган аҳдларига вафо қилмасликлари ва ҳоказо. Лекин катта сабаб — билганига амал қилмаслик. Аллоҳ уларга илм берган, улар эса била туриб илмга амал қилмаганлар. «Адашганлар""дан мурод — насронийлар. Насороларнинг «адашганлар"" бўлиши ҳам бир қанча сабабларга кўрадир. Энг асосийси — улар мақсадга эришиш йўлида Аллоҳ кўрсатган йўлни эмас, ўзлари топган йўлни танлаганлар. Демак, оятнинг маъноси: Эй Аллоҳ, бизни ўтган анбиё-ю авлиё, азизларнинг йўлидан бошлагин, яҳудий ва насронийлар йўлидан бошламагин, деганидир. Имоми Насоий машҳур саҳобий Абу Ҳурайрадан ривоят қилган ҳадиси қудсийда Аллоҳ таоло айтади: «Намозни ўзим билан бандам орасида иккига бўлганман, бандамга нима сўраса, бераман. Агар у (банда) «Алҳамду лиллаҳи роббил ъаламийн"" деса, Аллоҳ, бандам Менга ҳамд-шукр айтди, дейди. Банда: «ар-Роҳманир Роҳийм», деса. Аллоҳ: «Бандам Менга сано-мақтов айтди», дейди. Банда: «Малики явмид-дин», деса, Аллоҳ: «Бандам Мени улуғлади», дейди. Банда: «Иййака наъбуду ва иййака настаъин», деса, Аллоҳ: «Бу Мен билан бандам орасидаги аҳд, бандамга нима сўраса, бераман», дейди. Агар банда: «Иҳдинас сиротал мустақим, сиротол-лазийна анъамта ъалайҳим ғойрил мағзуби алайҳим валаззооллийн», деса, Аллоҳ: «Бу бандамга хос, бандамга сўраганини бердим», дейди.)"
8,Алиф. Лаам. Мийм.<sup>1</sup>,"(Қуръони Каримнинг йигирма тўққиз сураси ҳарфлар билан бошланган. Бу ҳарфларга турлича номлар берилган: баъзилар «Ҳурифул муқатаот"" кесик ҳарфлар десалар, бошқалар «Ҳурифул ҳижои"" алифбо ҳарифлари дейдилар, учинчилари эса, «Фавотуҳус суар"" сураларни очувчилар дейдилар. Бу ҳарфларга турлича ном берилганидек, улар ила бошланишидан кўзланган мурод ҳақида ҳам ҳар хил фикрлар айтилган. Бу ҳақда махсус баҳслар ҳам бор. Баъзи уламолар бу ҳарфларнинг сирини Аллоҳга ҳавола этадилар, бошқалари: «Бу Аллоҳ билан Пайғамбар алайҳиссалом ўрталаридаги сир», дейдилар. Бошқа бирлари эса, уларга ўзларича маъно йўйганлар. Ихтилофнинг асосий сабаби — улар ҳақида на Пайғамбар алайҳиссаломнинг ўзларидан ва на саҳобаи киромлардан бирорта ҳам ривоят йўқлигидир.)"
9,"Бу китобда шак-шубҳа йўқ, у тақводорларга ҳидоятдир.<sup>1</sup>","(Яъни, Қуръони Карим шундай китобки, унинг ҳақлигига ҳеч шак-шубҳа йўқ. Унда ҳамма нарса очиқ-ойдин, аниқ-равшандир. Қуръони Каримнинг бир сифати «тақводорларга ҳидоятдир». Ҳидоят-мақсадга эриштиргувчи лутф билан йўл кўрсатишдир. Тақводорлар эса, уқубатга элтгувчи нарсалардан сақланадиган шахслардир. Демак, Қуръони Карим ҳидоятидан баҳраманд бўлиш учун тақводор бўлиш керак экан. Тақвосиз қалбга Қуръони Карим ҳидоят солмайди. Кимки Қуръони Каримдан ҳидоят олибдими, демак унда тақво бор экан.)"
10,"Улар ғайбга иймон келтирурлар, намозни тўкис ўқирлар ва Биз уларга берган ризқдан нафақа қилурлар.<sup>1</sup>","(Ушбу оятда Қуръон ҳидоятидан баҳраманд бўла оладиган тақводорларнинг сифатларидан учтаси саналган: Биринчиси — «ғайбга иймон келтирурлар». Абул Олия ғайбга иймон келтиришнинг тафсирида: «Аллоҳга, Унинг фаришталарига, китобларига, пайғамбарларига, қиёмат кунига, жаннатига, дўзахига, мулоқотига, ўлимдан кейинги ҳаётга ва қайта тирилишга ишонишдир», деган эканлар. Иккинчиси — «намоз ўқирлар». Яъни, Аллоҳга ибодат қиладилар. Бандага қул бўлишдан озод бўлиб, бандаларнинг Парвардигорига қул бўладилар. Намоз орқали банда Аллоҳ таолога боғланади. Ҳаётида ерга қапишиб юришдан юқори нарсани топади. Шунингдек, бошқа улкан яхшиликларга эришади. Учинчиси — «Биз уларга берган ризқдан нафақа қилурлар». Мўмин-мусулмоннинг, тақводор одамнинг эътиқоди бўйича, унинг қўлидаги мол-дунё Аллоҳ берган ризқ, ўзи яратган нарса эмас. Шунинг учун ҳам тақводор инсон Аллоҳ берган ризқдан ўзининг заифҳол, муҳтож биродарларига садақа қилади. «Садақа"" сўзини тасдиқ маъноси бор, мол-дунёсини сарфлаб садақа қилишда эътиқоддаги маънонинг, яъни яхшилик қилиш маъносининг тасдиғи бор. «Нафақа"" ўзи умумий сўз бўлиб, закот, хайр-эҳсон, садақа каби маъноларни англатади.);"
11,Ва улар сенга ва сендан олдин нозил қилинган нарсага иймон келтирарлар ва охиратга аниқ ишонарлар.<sup>1</sup>,"(Демак, тақводорларга оид навбатдаги тўртинчи сифат — Муҳаммад алайҳиссаломга нозил қилинган Қуръони Каримга ва у кишидан олдин туширилган самовий китобларга иймон келтириш. Бу нарса, Ислом умматининг буюк сифатларидан бири бўлиб, бошқа ҳеч бир умматда йўқдир. Чунки Ислом умматидан бошқа ҳеч бир уммат Аллоҳдан нозил бўлган барча китобларга бирдек иймон келтирмаган. Ислом уммати Аллоҳ туширган барча китобларга бирдек иймон келтиради.)"
12,"Ана ўшалар Роббиларидан бўлган ҳидоятдадирлар ва ана ўшалар, ўшаларгина нажот топгувчилардир.<sup>1</sup>","(Ким нажот топишни истаса, ўзида тақводорлик сифатларини мужассам қилишга уринсин.)"
13,"Албатта, куфр келтирганларга қўрқитасанми-қўрқитмайсанми — бари бир, иймон келтирмаслар.",
14,Аллоҳ уларнинг қалблари ва қулоқларини муҳрлаб қўйган ва кўзларида парда бор. Ва уларга улкан азоб бордир.,
15,"Ва одамлардан, Аллоҳга ва охират кунига иймон келтирдик, дейдиганлари бор. Ҳолбуки, улар мўмин эмаслар.",
16,"Улар Аллоҳни ва иймон келтирганларни алдамоқчи бўларлар. Ва ҳолбуки, сезмасдан ўзларини алдарлар.",
17,Уларнинг қалбларида касал бор. Аллоҳ касалларини зиёда қилди. Ва уларга ёлғон гапирганлари учун аламли азоб бор.,
18,"Ва агар уларга, ер юзида фасод қилманг, дейилса, биз фақат ислоҳ қилувчилармиз, дерлар.",
19,"Огоҳ бўлинг, улар, фақат улар фасодчилардир, лекин сезмаслар.",
20,"Ва агар уларга, одамлар иймон келтирганидек иймон келтиринглар, дейилса, «Эси пастлар иймон келтирганидек иймон келтирамизми?» дерлар. Огоҳ бўлинг, улар, фақат улар эси пастлардир ва лекин ўзлари билмаслар.",
21,"Улар иймон келтирганларни учратсалар, иймон келтирдик, дерлар, шайтонлари билан холи қолганда эса, биз сизлар биланмиз, фақат истеҳзо қиляпмиз, холос, дерлар.",
22,Аллоҳ уларни истеҳзо қиладир ва туғёнларида довдирашларига қўйиб берадир.,
23,Ана ўшалар залолатни ҳидоятга сотиб олганлардир. Ва тижоратлари фойда келтирмади ҳамда улар ҳидоят топганлардан бўлмадилар.<sup>1</sup>,"(Ушбу оятда Аллоҳ таоло мунофиқлар ҳидоятни қўйиб залолат-адашиш йўлини ихтиёр қилганликларини илоҳий таъбирлар билан баён қилмоқда. Агар улар хоҳласалар, ҳидоят қўлларига теккан эди, ундан фойдаланиб юрсалар бўлар эди. Пайғамбар алайҳиссалом бошқалар қатори уларни ҳам даъват қилган эдилар. Аммо улар ҳидоятни бой бериб, залолатни танладилар. Яъни, ҳидоятга залолатни сотиб олдилар. Аммо уларнинг бу тижорат-савдолари фойда келтирмади. Шу билан бирга, улар ҳидоятда-тўғри йўлда юрувчилардан бўлмадилар. Имом Бухорий Абу Ҳурайра розияллоҳу анҳудан ривоят қилган ҳадисда Пайғамбаримиз алайҳиссалом: «Мунофиқнинг белгиси учдир: гапирса ёлғон гапиради, ваъда берса, сўзида турмайди ва омонат топширилса, хиёнат қилади», деганлар. Шунингдек, Имом Бухорий Ибн Амр розияллоҳу анҳудан ривоят қилган ҳадисда: «Тўрт нарса бор, кимда улар бўлса, тўлиқ мунофиқ бўлади. Кимда улардан бир хислат бўлса, уни ташлагунча, нифоқнинг хислатларидан бири у кишида туради. Омонатга хиёнат қилади, ёлғон гапиради, аҳд қилса, алдайди ва тортишса, фожирлик қилади», дейилган.)"
24,"Улар, мисоли, ёққан ўти энди атрофини ёритганида, Аллоҳ нурларини кетказиб, қоронғу зулматларда қолдирган кишиларга ўхшарлар. Улар кўрмаслар.<sup>1</sup>","(Ҳақиқатда ҳам, мунофиқлар кофирларнинг зидди ўлароқ, аввал бошдан Ислом даъватини эшитдилар. Ислом-иймон калималарини нутқ қилдилар, ҳатто яхшигина қулоқ осдилар, иймон келтирдик, дедилар, ибодат ҳам қилдилар. Кейин эса, ҳаммасини ташлаб, инкор қилиб, куфр, нифоқ, шак-шубҳа зулматларида қолиб кетдилар.)"
25,"Улар кар, соқов, кўрдирлар. Бас, улар қайтмаслар.",
26,"Ёки худди осмондан ёмғир ёғиб, қоронғу босиб, момақалдироқ ва чақмоқ чаққанда, яшиндан қочиб, панжаларини қулоқларига тиқиб, ўлимдан эҳтиёт бўлаётган одамга ўхшарлар. Ва Аллоҳ кофирларни ўраб олувчидир.",
27,"Чақмоқ уларнинг кўзини олиб қўяй дейди. Ёришган пайтда юришар, қоронғи бўлса, тўхташар. Агар Аллоҳ хоҳласа, уларнинг кўзу қулоқларини кетказур. Албатта, Аллоҳ ҳар бир нарсага қодирдир.<sup>1</sup>","(Аллоҳ таоло ушбу икки оятда мунофиқларнинг ҳайратлари, иккиланишлари ва умумий руҳий ҳолатларини момақалдироқ бўлиб чақмоқ чақиб, осмонни зулмат босиб, қаттиқ ёмғир ёққанда кўчада қолган бечора одамга ўхшатади. У қўрққанидан даҳшатга тушиб, яшиндан қутулмоқчи бўлади, панжаларини қулоқларига тиқиб, шу мени ўлимдан сақлайди, деб туради. Улар куфр ва нифоқ зулматидадирлар; чақмоқ чаққан пайтдаги ёруғдан фойдаланиб бир-икки қадам боса оладилар, чақмоқдан кейин яна қоронғуда туриб қоладилар.)"
28,"Эй одамлар, сизларни ва сиздан олдингиларни яратган Роббингизга ибодат қилинг. Шоядки, тақводор бўлсангиз.<sup>1</sup>","(Ушбу оятда умумбашарга қарата нидо этилмоқдаки, сизларни яратган тарбиякунандаларингиз улуғ Аллоҳга ибодат қилинглар! Сизларни яратишда У ягона бўлган, энди ёлғиз Ўзига ибодат қилишингизга ҳақлидир. Ибодатдан мақсад — шоядки тақводор бўлсаларингиз.)"
29,"У сизларга ерни тўшаб, осмонни бино қилган ва осмондан сув тушириб, у билан сизларга меваларни ризқ қилиб чиқарган Зотдир. Билиб туриб Аллоҳга бошқаларни тенглаштирманг.",
30,"Ва агар бандамизга туширган нарсамизга шакингиз бўлса, унга ўхшаш бир сура келтиринг ва рост сўзловчилардан бўлсангиз, Аллоҳдан ўзга гувоҳларингизни чақиринг.",
31,"Бас, агар қила олмасанглар, ҳеч қачон қила олмайсизлар ҳам, ёқилғиси одамлар ва тош бўлган, кофирлар учун тайёрланган ўтдан қўрқинглар.<sup>1</sup>","(Аллоҳ субҳонаҳу ва таолонинг, «ҳеч қачон қила олмайсизлар ҳам», дейиши улкан мўъжизадир. Бу ерда Қуръон сураларидан биттасига ўхшаш сурани ҳеч қачон келтира олмаслиги таъкидлаб айтилмоқда.)"
