id,text,foot_notes
1,"Mulina lya Allah, Jwaukoto wejinji, Jwachanasa channope.",
2,"Lumbili losope lwene alapikwe Allah, M'mbuje jwa iwumbe yosope.<sup>1</sup>","Ukulu wa Sȗrat Al-Fâtihah: Akusimulila Abu Sa’îd Al-Mu‘allâ  رضى الله عنه  kuti: Pandema janaliji nkuswali mu nsikiti, jwamilasile Ntenga jwa Allahﷺnambo nganinan’janga. Panyuma pakwe ni natite: “E Ntenga jwa Allah! Une naliji nkuswali.” Jwalakwe jwatite: “Ana Allah nganati – ‘E jenumanja ŵankulupilile! Mun'jitikani Allah ni Ntenga ﷺ pati achim'bilanjilaga ku yampaka impe umi (wambone).” (8:24). Kaneko jwalakwe nijwasalile kuti: “Tinan’jiganye Sura jajili Sura jekulungwa nnope mu Qur’an, nkaninkopoche mu nsikiti.” Kaneka nijwangamwile pankono. Sano ndema ja jwasachile kopoka, nam’busyisye kuti: “Ana nganimusalila yanti: ‘Tinan’jiganye Sura jajili Sura jekulungwa nnope mu Qur’an?” Jwalakwe jwatite: “Al-Hamdu lillahi Rabbil-‘âlamîn (Lumbili losope lwene alapikwe Allah, M’mbuje jwa iwumbe yosope.) Sȗrat Al-Fâtihah jajili As-Sab‘al-Mathâni (Ma Ȃya nsano nagaŵili gakusoomedwasoomedwa) nambo soni Qur’an jekulungwa, jambedwile.” (Swahîh Al-Bukhârî, Hadîth No. 4720)."
3,"Jwaukoto wejinji, Jwachanasa channope.",
4,Nsyene Lisiku Lyamalipilo.,
5,"Kwele Jikape tukwagalagatila, soni Kwele Jikape tukwaŵenda chikamuchisyo.",
6,Tujongolelani kwitala lyagoloka.<sup>1</sup>,"Chongolo chili patundu paŵili: (a) Chongolo cha Taufîq, chachili chakuumila kwa Allah pe basi. Allah jukasaugula ntima wa mundu kuti ayipochele yakuona. (Kutyoka ku ukafili ni kulupilila Tauhidi). (b) Chongolo cha Irshâd, kupitila mu kulalichila kwa Achimitenga ŵa Allah kwisa soni akuŵilanjila ŵaliose ŵaakuŵilanjilaga ku Usilamu."
7,"Litala lya aŵala ŵanya ŵamwapele chindimba,<sup>1</sup> ngaŵaga ŵaŵatumbililidwe (aŵala ŵaŵaimanyi yakuona nikuileka), kapena ŵaŵasokonechele (aŵala ŵaŵailesile yakuona ligongo lya ujinga ni kupotela).","“Ŵandu ŵaŵapele Allah chindimba, kutandila Achimitume, ni ŵakulungamika kusyene (pachikulupi), ni ŵakuwila kungondo (jakumenyana ni makafili), kwisa soni (ŵandu) ŵambone, kaje kusalala kuŵa nao imo ŵanganyao!” (4:69)."
8,Alif-Lâm-Mîm.<sup>1</sup>,Asi harufusi ni chimpepe mu isimosimo ya Qur’an. Ni pangali jwine jwaakumanyilila mate gakwe ikaŵeje Allah pe basi.
9,"Achi ni Chitabu changali kaikasya nkati mwakwe, chongolo cha ŵakun'jogopa (Allah).",
10,"Aŵala ŵakasakulupililaga yangaiona, ni akwimikaga Swala mwakolosya, soni mu ichindu yatwapele akasatolaga.",
